DIFT_similarity,mask,affine,global,OOB,total
-0.00024409923040250774,-0.00011776958061299019,0.0,0.0,0.0,-0.0003618688110154979
-0.0002440672696615192,-0.00012909931965723875,7.97828957438469e-06,7.995317876338959,0.0,7.994952747643716
-0.00024407937229307928,-0.00013700989276551245,9.938209503889084e-06,2.042226679623127,0.0,2.0418556403263644
-0.00024408292729132216,-0.0001412180098038031,1.2451662868261339e-05,4.8254720866680145,0.0,4.825099028777432
-0.00024408086363340742,-0.00014480163828813514,1.54258131980896e-05,6.732145696878433,0.0,6.7317723295957865
-0.00024408004751349502,-0.000150285075591611,1.6242268681526183e-05,5.943865329027176,0.0,5.943487176369269
-0.0002440622915783601,-0.00014695475511724085,1.6131584346294404e-05,3.4664928913116455,0.0,3.466118005848784
-0.0002440643213972974,-0.00015265988344714666,1.5245813131332399e-05,0.16389810480177402,0.0,0.16351663199725713
-0.0002440638245533346,-0.000159814997665706,1.4948183298110963e-05,1.624889113008976,0.0,1.624500204721478
-0.0002440551713608863,-0.00016409236267784198,1.4399155974388123e-05,1.452967058867216,0.0,1.4525732993128952
-0.0002440711575636958,-0.00016908213342983451,1.4070063829421997e-05,0.013953068992123008,0.0,0.013553985997076499
-0.00024405472608382946,-0.00016392167587002954,1.4201438426971436e-05,2.431645616889,0.0,2.431251856826014
-0.00024405391031039124,-0.00016341777180939622,1.4421960711479187e-05,3.3635560423135757,0.0,3.3631630968998434
-0.00024406163454783843,-0.0001682554127347956,1.4622198045253755e-05,3.0515318736433983,0.0,3.05113409683707
-0.00024406062896429958,-0.00016992117300724998,1.5005820989608766e-05,1.7045805230736732,0.0,1.7041815694438307
-0.00024407301605115496,-0.00017505501835133014,1.5257903933525086e-05,0.5122628528624773,0.0,0.5118590106709667
-0.00024406244131294818,-0.00017728503447987824,1.5617041289806365e-05,1.4387644827365875,0.0,1.4383587224993168
-0.00024406447598252385,-0.00018110548913387667,1.610521376132965e-05,1.2630551122128963,0.0,1.2626460213846926
-0.0002440609516472452,-0.0001789580521639436,1.6397844254970552e-05,0.13995952904224396,0.0,0.13955290788229774
-0.00024405076195733503,-0.0001813115549362486,1.6381178796291352e-05,1.8018066883087158,0.0,1.8013977071701064
-0.00024406248698979319,-0.0001785540024795669,1.6151756048202517e-05,2.5859883055090904,0.0,2.585581818424306
