DIFT_similarity,mask,affine,global,OOB,total
-0.0002441716074422907,-7.823140299393949e-05,0.0,0.0,0.0,-0.0003224030104362302
-0.00023465732812366223,-9.803226397812572e-05,7.955043762922288e-06,7.995517551898956,4.425644874572754e-06,7.99519742180932
-0.0002441723958057722,-0.00011286985810212272,1.080683395266533e-05,2.042428031563759,0.0,2.0420817812421053
-0.0002441685161034844,-0.00012966601818204958,1.4319148659706117e-05,4.825269430875778,0.0,4.824909706873485
-0.00024417069727388917,-0.0001444391986330932,1.7974147200584412e-05,6.731939315795898,0.0,6.7315686800473316
-0.00024417430682256556,-0.00015771817909610237,2.1082203090190887e-05,5.943655967712402,0.0,5.943275157428267
-0.0002441767194762145,-0.00016821196923523933,2.3561015725135804e-05,3.4662820398807526,0.0,3.4658933016140496
-0.0002441816475227285,-0.000165855639511978,2.5330421328544617e-05,0.16410963144153357,0.0,0.16372492550643403
-0.00024418129302190475,-0.00017570815427655662,2.6047444343566895e-05,1.6251014545559883,0.0,1.6247076051025169
-0.0002441820367190909,-0.00016801207989151912,2.6056811213493348e-05,1.4531806111335754,0.0,1.452794414222704
-0.00024418322539498114,-0.00017450340624491215,2.5956955552101136e-05,0.016317608242388815,0.0,0.01592487815843703
-0.0002441845868748647,-0.0001813278857980751,2.591361701488495e-05,2.1258167922496796,0.0,2.125417223195229
-0.0002441805704788917,-0.00017892772878727147,2.5750127434730532e-05,3.0843619257211685,0.0,3.0839646718569824
-0.00024419123743697394,-0.0001742941139446985,2.536412477493286e-05,2.797326259315014,0.0,2.796933205143525
-0.0002441911848210212,-0.00018000475372860413,2.4729226529598238e-05,1.5048950910568237,0.0,1.504495624344699
-0.00024419558044259986,-0.0001797192876582105,2.3651888966560365e-05,0.46524866484105587,0.0,0.46484841117429465
-0.0002441888391331304,-0.00018134768672753123,2.2590367496013644e-05,1.376817747950554,0.0,1.3764147570889442
-0.00024419241129146904,-0.00018024328610481458,2.16830775141716e-05,1.2125673703849316,0.0,1.21216457678699
-0.00024418995141146563,-0.00017832760453845062,2.0949333906173706e-05,0.15140448231250048,0.0,0.15100291688422074
-0.00024419031729781566,-0.0001800784866739478,2.057188004255295e-05,1.5957752242684364,0.0,1.5953715496950558
-0.00024418853751773925,-0.00018289901339405533,2.0666186511516574e-05,2.357560396194458,0.0,2.3571539748297203
-0.00024418824075298656,-0.00018069426225689916,2.0630864799022677e-05,2.152104862034321,0.0,2.151700602945768
-0.0002441929127262146,-0.0001839940796813203,2.0782709121704104e-05,1.1253906413912773,0.0,1.1249832445582666
-0.0002441951213835704,-0.00018378324680961666,2.1111582219600678e-05,0.5812192335724831,0.0,0.5808123891381319
-0.00024419288032125525,-0.00018027165646457836,2.1346382796764375e-05,1.3312247581779957,0.0,1.3308216810021125
-0.00024419010360024576,-0.0001904080679964358,2.1553635597229005e-05,1.169391255825758,0.0,1.1689782299153368
-0.00024419461038228794,-0.00018052524246615713,2.1716734766960146e-05,0.22437735460698605,0.0,0.22397434590061113
