hex,sign_name,period,code,total_wedges
0x12119,GU2 TIMES KAK,Akkadian,a4b2c3d3,12
0x1230c,U GUD,Akkadian,a1b2c1d1w1,6
0x12266,NUN LAGAR TIMES SAL,Akkadian,a8b2c2d2,14
0x12174,KA TIMES ME,Akkadian,a4b3c5d1,13
0x1227c,PAN,Akkadian,c2d2,4
0x1212d,HI,Akkadian,c2d2,4
0x1209f,ERIN2,Akkadian,c2d2,4
0x122dd,SIG,Akkadian,c2d2,4
0x12390,NIN9,Akkadian,a3b4c1d1,9
0x1219c,KASKAL,Akkadian,c2d2,4
0x1219c,KASKAL,Neo-Babylonian,c2d2,4
0x121a0,KI,Old Babylonian,b4c2d2,8
0x121f4,LAM,Old Babylonian,a5c2,7
0x1203f,ASHGAB,Old Babylonian,a5c2,7
0x1209f,ERIN2,Old Babylonian,c2d2,4
0x12087,DUN3 GUNU GUNU,Old Babylonian,a7b7,14
0x12326,UN,Old Babylonian,a8b4c2d2,16
,NA NA NA NA,Old Babylonian,a2c5d1,8
0x1203f,ASHGAB,Middle Hittite,a5b1c1,7
0x1203f,ASHGAB,Middle Hittite,a5b1c1,7
0x12293,SA,Middle Hittite,a5b1c1,7
0x1200c,AB TIMES DUN3 GUNU,Akkadian,a8b4c1d1,14
0x1204a,BI TIMES A,Akkadian,a7b2c1d1,11
0x1204b,BI TIMES GAR,Akkadian,a7b2c1d2,12
0x1204c,BI TIMES IGI GUNU,Akkadian,a5b7c1d1w1,15
0x1200e,AB TIMES GAN2 TENU,Akkadian,a6b2c3d1,12
0x1215f,KA TIMES BI,Akkadian,a7b4c6d2,19
0x1217a,KA TIMES NE,Akkadian,a8b3c5d1,17
0x1217e,KA TIMES SA,Akkadian,a7b6c5d1,19
0x1217f,KA TIMES SAR,Akkadian,a5b4c5d1w9,24
0x1218b,KA TIMES USH,Akkadian,a6b4c5d1,16
0x1221c,LUL,Akkadian,a2c6d5,13
0x1219d,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,Akkadian,a4b4c2d2w1,13
0x1223f,NA2,Akkadian,a2b4c2d2w6,16
0x1220a,LU2 TIMES LAGAB,Akkadian,a6b2c3d1,12
0x1220c,LU2 TIMES NE,Akkadian,a5b4c6d1,16
0x124e6,LAK-228,Akkadian,a5b4c3d3w1,16
0x124a7,DUG TIMES SHE,Akkadian,a2b2c1d1w10,16
0x1207e,DUB,Akkadian,a9b4,13
0x122cb,SHIM TIMES GAR,Akkadian,a10b2c1d2w1,16
0x122cc,SHIM TIMES IGI,Akkadian,a8b3c1d1w2,15
0x122ce,SHIM TIMES KUSHU2,Akkadian,a11b3c2d2w2,20
0x122d0,SHIM TIMES MUG,Akkadian,a9b3c2d2w1,17
0x122d1,SHIM TIMES SAL,Akkadian,a8b3c2d2w1,16
0x122ca,SHIM TIMES DIN,Akkadian,a7b2c2d2w3,16
0x121d3,LAGAB TIMES KUL PLUS HI PLUS A,Akkadian,a5b4c2d2w3,16
0x121cf,LAGAB TIMES KI,Akkadian,a2b6c2d2,12
0x121ce,LAGAB TIMES IM PLUS LU,Akkadian,a7b6c2d3,18
0x121c9,LAGAB TIMES HAL,Akkadian,a2b3c1d1,7
0x121c5,LAGAB TIMES GAR,Akkadian,a5b2d1,8
0x121c3,LAGAB TIMES EN,Akkadian,a5b7w2,14
0x121cc,LAGAB TIMES IM,Akkadian,a4b3c2d3,12
0x121cd,LAGAB TIMES IM PLUS HA,Akkadian,a8b3c2d3w1,17
0x121c2,LAGAB TIMES DAR,Akkadian,a4b8c1,13
0x121b6,KWU318,Akkadian,a5b7c2d2,16
,LAHSZU,Akkadian,a5b3c2d2w1,13
0x1234d,URU TIMES UD,Akkadian,a3b3c2d2,10
0x1234c,URU TIMES U PLUS GUD,Akkadian,a4b5c1d1w1,12
0x1234a,URU TIMES SIG4,Akkadian,a3b3c6d6,18
0x1233f,URU TIMES GAR,Akkadian,a6b3d1,10
0x1233e,URU TIMES GAN2 TENU,Akkadian,a8b3c2,13
0x1233b,URU TIMES DUN,Akkadian,a8b5c3d2,18
0x122b1,SHA3 TIMES GISH,Akkadian,a1b2c3d3,9
0x122b3,SHA3 TIMES SHU2,Akkadian,a1c3d3w1,8
,URU TIMES ASZGAB,Akkadian,a8b4c1,13
0x12340,URU TIMES GU,Akkadian,a5b4c1d1w2,13
0x12341,URU TIMES HA,Akkadian,a7b3w2,12
0x12342,URU TIMES IGI,Akkadian,a4b4w1,9
0x12343,URU TIMES IM,Akkadian,a5b4c2d3,14
0x12345,URU TIMES KI,Akkadian,a3b7c2d2,14
0x12346,URU TIMES LUM,Akkadian,a3b3c8d4,18
0x12349,URU TIMES SHE,Akkadian,a3b3w10,16
0x12004,A TIMES HA,Akkadian,a7w2,9
0x120c1,GA2 TIMES BUR,Akkadian,a4b8c1d1,14
0x120c7,GA2 TIMES EL,Akkadian,a6b5c1d1,13
0x120e0,GA2 TIMES NUN,Akkadian,a8b3,11
0x120ec,GA2 TIMES UD PLUS DU,Akkadian,a4b4c2d1w1,12
0x121a3,KI TIMES UD,Akkadian,b4c4d4,12
0x121a2,KI TIMES U,Akkadian,b4c2d2w1,9
0x121a1,KI TIMES BAD,Akkadian,b5c3d3,11
0x122af,SHA3 TIMES A,Akkadian,a3c3d3,9
0x122b0,SHA3 TIMES BAD,Akkadian,b1c4d4,9
0x122b4,SHA3 TIMES TUR,Akkadian,a1b2c5d5,13
0x1212f,HI TIMES ASH2,Akkadian,a1b4c2d2,9
0x1206e,DAM,Akkadian,a3b4c1d1w1,10
0x122d3,SHIR,Akkadian,b2c2d2,6
0x122c8,SHIM TIMES BAL,Akkadian,a8b5c1d1w3,18
0x121a5,KIN,Akkadian,a3b5d1w1,10
0x122f3,TAG,Akkadian,a6b2c2d2,12
0x1212a,HA TENU,Akkadian,c4w2,6
0x1212b,HA GUNU,Akkadian,a4b4w2,10
0x121a8,KISIM5,Akkadian,c1d1w2,4
,NUMUN GUNU,Akkadian,a4b2w3,9
0x1223e,NA,Akkadian,b4c2d2w1,9
0x121f4,LAM,Akkadian,a5c2d2,9
0x121f5,LAM TIMES KUR,Akkadian,a5c2d2w3,12
0x122ac,SAR,Akkadian,a2b2w9,13
0x1220e,LU2 TIMES SI PLUS ASH,Akkadian,a6b2c3d1,12
0x1231c,UDUG,Akkadian,a4b2w3,9
0x12221,MA TIMES TAK4,Akkadian,a8b4c1,13
0x12323,UMUM,Akkadian,a2b6c2d2,12
0x12286,PI TIMES IB,Akkadian,a7b3w2,12
0x121c0,LAGAB TIMES BAD,Akkadian,a2b3c1d1,7
0x12072,DI,Akkadian,b2c2d2,6
0x12292,RU,Akkadian,b2c2d2,6
0x12147,IGI DIB,Neo-Babylonian,a4b4w1,9
0x120e3,GA2 TIMES SAL,Neo-Babylonian,a4b2w3,9
0x12335,URI,Old Babylonian,a4b4w2,10
0x120e1,GA2 TIMES NUN OVER NUN,Old Babylonian,a8b4c1d1,14
0x1212b,HA GUNU,Neo-Babylonian,a4b4w2,10
0x1212b,HA GUNU,Neo-Babylonian,a4b4w2,10
0x12072,DI,Old Babylonian,b2c2d2,6
0x1212b,HA GUNU,Middle Hittite,a4b4w2,10
0x1227e,PESH2,Neo-Babylonian,a5b7w2,14
,KIMIN,Neo-Assyrian,a4b4w1,9
,form  AK TIMES ERIN2,Middle Hittite,a4b4w2,10
0x12143,IDIM OVER IDIM BUR,Neo Assyrian,a4b5w2,11
0x12184,KA TIMES SIG,Neo Assyrian,a4b5c2,11
0x121cf,LAGAB TIMES KI,Neo Assyrian,a4b6w1,11
0x121d7,LAGAB TIMES LUL,Neo Assyrian,a4b9,13
0x121dc,LAGAB TIMES SHE PLUS SUM,Neo Assyrian,a4b7c4,15
0x121e1,LAGAB TIMES SUM,Neo Assyrian,a4b7,11
0x1227b,PAD,Neo Assyrian,a4w1,5
0x1240a,FIVE DISH,Neo Assyrian,a5,5
0x120b0,EZEN TIMES LAL TIMES LAL,Neo Assyrian,a4b9,13
0x12088,DUN4,Neo Assyrian,a4b7c2,13
0x121ee,LAGAR TIMES SHE PLUS SUM,Neo Assyrian,a4b6c4w1,15
0x12070,DARA3,Neo Assyrian,a4b4c4,12
0x1201e,AK TIMES ERIN2,Neo Assyrian,a4b5c2,11
0x12022,AL TIMES DIM2,Neo Assyrian,a4b5c2w2,13
0x12021,AL TIMES AL,Neo Assyrian,a4b6w2,12
0x12026,AL TIMES KI,Neo Assyrian,a4b7w2,13
0x120d3,GA2 TIMES HAL PLUS LA,Neo Assyrian,a4b8,12
0x120d6,GA2 TIMES IGI GUNU,Neo Assyrian,a4b7w1,12
0x12105,GI4 OVER GI4,Neo Assyrian,a4b8c8,20
0x12193,KAD5,Neo Assyrian,a4b5c4,13
0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,Neo Assyrian,a4b8c4w2,18
0x1219d,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,Neo Assyrian,a4b6c2w2,14
0x12150,IM CROSSING IM,Neo Assyrian,a4c9d1,14
0x12160,KA TIMES ERIN2,Neo Assyrian,a4b5c2,11
0x121ac,KU3,Neo Assyrian,a4w1,5
0x12161,KA TIMES ESH2,Neo Assyrian,a4b9,13
0x121bd,LAGAB TIMES AL,Neo Assyrian,a4b5w1,10
0x121c2,LAGAB TIMES DAR,Neo Assyrian,a4b4c4,12
0x121c7,LAGAB TIMES GUD PLUS GUD,Neo Assyrian,a4b6c4,14
0x1232e,UR2 TIMES AL,Neo Assyrian,a4b7w2,13
0x12289,PI CROSSING PI,Neo Assyrian,a4b5c2,11
0x1228b,PIRIG TIMES KAL,Neo Assyrian,a4b6c2,12
0x1228d,PIRIG TIMES ZA,Neo Assyrian,a4b4c2,10
0x12297,SAG TIMES DU,Neo Assyrian,a4b7w1,12
0x1229a,SAG TIMES KAK,Neo Assyrian,a4b6,10
0x1229c,SAG TIMES LUM,Neo Assyrian,a4b8c2,14
0x1229f,SAG TIMES SAL,Neo Assyrian,a4b5c2,11
0x122a3,SAG TIMES UB,Neo Assyrian,a4b8c2,14
0x122b2,SHA3 TIMES NE,Neo Assyrian,a4b4c6,14
0x122b4,SHA3 TIMES TUR,Neo Assyrian,a4b5c2,11
0x122b3,SHA3 TIMES SHU2,Neo Assyrian,a4c3,7
0x12129,HA,Neo Assyrian,a4w1,5
0x120e6,GA2 TIMES SHE PLUS TUR,Neo Assyrian,a4b7c4,15
0x1216e,KA TIMES IM,Neo Assyrian,a4b6c4,14
0x122aa,SAL LAGAB TIMES ASH2,Neo Assyrian,a4b6c2,12
0x12252,NINDA2,Neo Assyrian,a4w1,5
0x1210b,GIR3 TIMES A PLUS IGI,Neo Assyrian,a4b5w2,11
0x12249,NE TIMES A,Neo Assyrian,a4b4c4,12
0x1216a,KA TIMES GISH CROSSING GISH,Neo Assyrian,a4b7w2,13
0x12205,LU2 TIMES KAD2,Neo Assyrian,a4b8c2,14
,U3,Old Assyrian,a4b6w1,11
,IA2,Old Assyrian,a5,5
0x120a1,EZEN,Akkadian,a4b6,10
0x120d6,GA2 TIMES IGI GUNU,Akkadian,a4b7w1,12
0x1225e,NINDA2 TIMES U2 PLUS ASH,Akkadian,a4b7w2,13
0x1233d,URU TIMES GAL,Akkadian,a4b8,12
0x12249,NE TIMES A,Akkadian,a4b4c4,12
,U3,Akkadian,a4b5w1,10
0x1236f,KAP ELAMITE,Akkadian,a4b6w1,11
0x1237a,GA2 TIMES ASH2,Akkadian,a4b6,10
0x1209a,EN TIMES ME,Akkadian,a4b6w2,12
0x1240a,five DISH,Akkadian,a5,5
0x121ac,KU3,Neo-Babylonian,a4w1,5
0x12259,NINDA2 TIMES NUN,Neo-Babylonian,a4b5w1,10
0x1214d,IL2,Old Babylonian,a4b5w2,11
0x121ac,KU3,Neo-Babylonian,a4w1,5
0x12129,HA,Old Babylonian,a4w1,5
0x1201e,AK TIMES ERIN2,Neo-Babylonian,a4b6,10
0x1206e,DAM,Old Babylonian,a4b4c2,10
0x1232b,UR2,Old Babylonian,a4b4,8
0x12147,IGI DIB,Old Babylonian,a4b5w1,10
0x12157,KA,Old Babylonian,a4b6c2,12
0x12229,MES,Old Babylonian,a4b4,8
0x12293,SA,Old Babylonian,a4b4,8
0x12311,U2,Old Babylonian,a4b8,12
0x1234e,URU TIMES URUDA,Neo-Babylonian,a4b7w1,12
0x120bc,GA2 TIMES AN,Middle Hittite,a4b4,8
0x12085,DUN3,Neo-Babylonian,a4b4,8
0x12087,DUN3 GUNU GUNU,Neo-Babylonian,a4b6,10
,LIBIR,Neo-Assyrian,a4b5w1,10
0x120b0,EZEN TIMES LAL TIMES LAL,Neo-Assyrian,a4b9,13
,SHITA2,Neo-Assyrian,a4b4,8
0x120bc,GA2 TIMES AN,Neo-Assyrian,a4b4,8
0x120c3,GA2 TIMES DA,Neo-Assyrian,a4b6w1,11
0x120d3,GA2 TIMES HAL PLUS LA,Neo-Assyrian,a4b8,12
0x120d6,GA2 TIMES IGI GUNU,Neo-Assyrian,a4b7w1,12
0x120d8,GA2 TIMES KAK,Neo-Assyrian,a4b4,8
0x120e2,GA2 TIMES PA,Neo-Assyrian,a4b4,8
0x120e6,GA2 TIMES SHE PLUS TUR,Neo-Assyrian,a4b7c4,15
0x121ac,KU3,Neo-Assyrian,a4w1,5
0x12229,MES,Middle Hittite,a4b4,8
0x121bd,LAGAB TIMES AL,Neo-Assyrian,a4b5w1,10
0x121c2,LAGAB TIMES DAR,Neo-Assyrian,a4b4c4,12
,form GA2 TIMES PA,Middle Hittite,a4b4,8
0x121cf,LAGAB TIMES KI,Neo-Assyrian,a4b6w1,11
0x121dc,LAGAB TIMES SHE PLUS SUM,Neo-Assyrian,a4b7c4,15
0x12129,HA,Middle Hittite,a4w1,5
0x12147,IGI DIB,Middle Hittite,a4b6w1,11
0x122c5,SHID TIMES IM,Akkadian,a5b6c2d3,16
0x121fe,LU2 TIMES AL,Akkadian,a9b8c4d2,23
0x121ff,LU2 TIMES BAD,Akkadian,a4b1c4d2,11
0x121f8,LIL,Akkadian,b2c1d1w11,15
,UZ,Akkadian,a2b1w11,14
0x122d2,SHINIG,Akkadian,a2c2d2w10,16
0x12239,MUSH3,Akkadian,a2b3c3d3,11
0x1223b,MUSH3 TIMES A PLUS DI,Akkadian,a5b3c3d3,14
0x1223a,MUSH3 TIMES A,Akkadian,a5b1c1d1,8
0x1220d,LU2 TIMES NU,Akkadian,a5b1c3d2,11
0x12104,GI4,Akkadian,a1b5c5d2,13
0x12102,GI TIMES U,Akkadian,a1b1c5d2w1,10
0x12107,GIDIM,Akkadian,a4b4c4d1,13
0x12095,EGIR,Akkadian,a4b8c2d2w2,18
0x12092,E2 TIMES SHE,Akkadian,a5b5w10,20
0x12093,E2 TIMES U,Akkadian,a5b5w1,11
0x12090,E2 TIMES MI,Akkadian,a5b13w1,19
0x12134,HI TIMES NUN,Akkadian,a5b1c2d2,10
0x12135,HI TIMES SHE,Akkadian,c2d2w10,14
0x12145,IG,Akkadian,a3b6w2,11
0x12132,HI TIMES GAD,Akkadian,a1c3d3,7
0x12161,KA TIMES ESH2,Akkadian,a5b9c5d1,20
0x12165,KA TIMES GAR,Akkadian,a6b2c5d2,15
0x1210b,GIR3 TIMES A PLUS IGI,Akkadian,a6b7c3d3w1,20
0x1210c,GIR3 TIMES GAN2 TENU,Akkadian,a7b6c5d3,21
0x1210e,GIR3 TIMES LU PLUS IGI,Akkadian,a6b10c3d3,22
0x1210f,GIR3 TIMES PA,Akkadian,a3b8c3d3,17
0x12138,HUB2,Akkadian,a3b1c3d3w1,11
0x12070,DARA3,Akkadian,a2b5c5d5w2,19
0x12069,DAG KISIM5 TIMES PAP PLUS PAP,Akkadian,a4b5c4d4w2,19
,TAG TIMES SZU,Akkadian,a7b7c2d2,18
0x122f8,TAG TIMES TUG2,Akkadian,a8b6c2d2,18
0x122f9,TAG TIMES UD,Akkadian,a6b2c4d4,16
0x122ea,SUR9,Akkadian,a4b3c3d2,12
0x122ee,TA TIMES MI,Akkadian,a2b10w1,13
0x122dc,SI GUNU,Akkadian,a2b6,8
0x122ad,SHA,Akkadian,a1b4c1d1,7
0x122c1,SHESH2,Akkadian,a12b9,21
0x1213e,HUL2,Akkadian,a2b5w1,8
0x1210a,GIR3,Akkadian,a2b6c3d3,14
0x1210d,GIR3 TIMES IGI,Akkadian,a3b7c3d3w1,17
0x1224b,NE SHESHIG,Akkadian,a1b4c4w4,13
0x1215b,KA TIMES ASH2,Akkadian,a4b6c5d1,16
0x1215c,KA TIMES BAD,Akkadian,a3b3c6d2,14
0x1214f,IM TIMES TAK4,Akkadian,a8b2c3d3,16
0x1214d,IL2,Akkadian,a10b9c1d1,21
0x1213d,HUB2 TIMES UD,Akkadian,a3b1c3d3w1,11
0x1232a,UR SHESHIG,Akkadian,a3b2w4,9
0x12028,AL TIMES USH,Akkadian,a8b4c1d1w1,15
0x12027,AL TIMES SHE,Akkadian,a5b2c1d1w4,13
0x12026,AL TIMES KI,Akkadian,a5b6c3d3,17
0x12025,AL TIMES KAD3,Akkadian,a8b3c1d1w3,16
0x12024,AL TIMES HA,Akkadian,a9b2c1d1w2,15
0x12021,AL TIMES AL,Akkadian,a10b4c2d2,18
0x12034,ARAD,Akkadian,a3b1c1d1w1,7
0x12011,AB TIMES IMIN,Akkadian,a1b2c1d1w7,12
0x12010,AB TIMES IGI GUNU,Akkadian,a2b7c1d1w1,12
0x12013,AB TIMES SHESH,Akkadian,a1b3c3d3,10
0x12014,AB TIMES U PLUS U PLUS U,Akkadian,a1b2c1d1w3,8
0x12015,AB GUNU,Akkadian,a1b2c5d1,9
0x1229c,SAG TIMES LUM,Akkadian,a3b2c9d5,19
0x12058,DAG KISIM5 TIMES AMAR,Akkadian,a4b7c2d2w6,21
0x12063,DAG KISIM5 TIMES KAK,Akkadian,a5b5c3d3w2,18
0x12067,DAG KISIM5 TIMES LUM,Akkadian,a4b5c11d6w2,28
0x12068,DAG KISIM5 TIMES NE,Akkadian,a5b9c6d2w2,24
0x12108,GIR2,Akkadian,a1b2c2d2,7
0x12253,NINDA2 TIMES AN,Akkadian,a1b5c1d1w2,10
0x12256,NINDA2 TIMES GUD,Akkadian,a1b6c1d1w2,11
0x12258,NINDA2 TIMES NE,Akkadian,a1b8c4w2,15
0x12244,NAGAR,Akkadian,a3b1c1d1w1,7
0x12232,MUSH,Akkadian,a4b1c2d2w1,10
0x12234,MUSH TIMES KUR,Akkadian,a4b1c2d2w4,13
0x12120,GUD TIMES KUR,Akkadian,a1b2c1d1w3,8
,USZ TIMES KU,Akkadian,a5b5w1,11
,USZ TIMES KUR,Akkadian,a3b2w4,9
0x1236a,ZU,Akkadian,a5b1c1d1,8
0x12309,TUR,Akkadian,a1b2c2d2,7
0x122ab,SANGA2,Akkadian,a7b7c2d2,18
0x122e3,SU OVER SU,Akkadian,a10b4c2d2,18
,TIR Variant Form,Neo-Babylonian,a3b2w4,9
0x1201a,AB2 TIMES SHA3,Neo-Babylonian,a3b2w4,9
0x1206f,DAR,Neo-Babylonian,a2b5w1,8
0x12132,HI TIMES GAD,Neo-Babylonian,a1b2c2d2,7
0x12301,TIR,Old Babylonian,a3b2w4,9
0x12362,ZE2,Old Babylonian,a2b6,8
0x1206f,DAR,Old Babylonian,a2b5w1,8
0x1208a,E,Old Babylonian,a1b4c1d1,7
0x12053,BUR,Old Babylonian,a1b4c1d1,7
0x12224,MAH,Old Babylonian,a3b6w2,11
0x120e5,GA2 TIMES SHE,Middle Hittite,a3b2w4,9
0x1209e,EREN,Middle Hittite,a5b5w1,11
0x12362,ZE2,Neo-Babylonian,a2b6,8
0x12362,ZE2,Neo-Babylonian,a2b6,8
0x120e5,GA2 TIMES SHE,Neo-Assyrian,a3b2w4,9
0x12086,DUN3 GUNU,Middle Hittite,a2b6,8
0x12147,IGI DIB,Middle Hittite,a2b5w1,8
0x12216,LU3,Middle Hittite,a2b6,8
0x12362,ZE2,Middle Hittite,a2b6,8
0x12224,MAH,Middle Hittite,a3b2w4,9
0x12069,DAG KISIM5 TIMES PAP PLUS PAP,Neo Assyrian,a5b6c2w2,15
0x120c3,GA2 TIMES DA,Neo Assyrian,a5b6w1,12
0x120c4,GA2 TIMES DI,Neo Assyrian,a5b4w1,10
0x120c9,GA2 TIMES EN,Neo Assyrian,a5b3c2,10
0x12188,KA TIMES U2,Neo Assyrian,a5b9,14
0x1218b,KA TIMES USH,Neo Assyrian,a5b7w1,13
0x121ca,LAGAB TIMES HI TIMES NUN,Neo Assyrian,a5b4c4,13
0x121d0,LAGAB TIMES KIN,Neo Assyrian,a5b6c2,13
0x121d3,LAGAB TIMES KUL PLUS HI PLUS A,Neo Assyrian,a5b3c2w1,11
0x121d6,LAGAB TIMES LU,Neo Assyrian,a5b6,11
0x121d9,LAGAB TIMES ME PLUS EN,Neo Assyrian,a5b4c2,11
0x121da,LAGAB TIMES MUSH,Neo Assyrian,a5b3c4w1,13
0x121e6,LAGAB TIMES U PLUS A,Neo Assyrian,a5b2w1,8
0x121e8,LAGAB TIMES U2 PLUS ASH,Neo Assyrian,a5b7,12
0x12257,NINDA2 TIMES ME PLUS GAN2 TENU,Neo Assyrian,a5b7w1,13
0x12273,NUNUZ AB2 TIMES KAD3,Neo Assyrian,a5b3c10w2,20
0x120a2,EZEN TIMES A,Neo Assyrian,a5b7,12
0x121ea,LAGAB TIMES USH,Neo Assyrian,a5b4w1,10
0x12006,A TIMES LAGAR GUNU,Neo Assyrian,a5b4w1,10
0x12007,A TIMES MUSH,Neo Assyrian,a6b1c4w1,12
0x1200c,AB TIMES DUN3 GUNU,Neo Assyrian,a5b8w1,14
0x1200e,AB TIMES GAN2 TENU,Neo Assyrian,a5b6w1,12
0x1200f,AB TIMES HA,Neo Assyrian,a5b4w2,11
0x12025,AL TIMES KAD3,Neo Assyrian,a5b4c4w1,14
0x12028,AL TIMES USH,Neo Assyrian,a5b5w2,12
0x120cd,GA2 TIMES GI,Neo Assyrian,a5b3c4,12
0x120ce,GA2 TIMES GI4,Neo Assyrian,a5b6c4,15
0x120d4,GA2 TIMES HI PLUS LI,Neo Assyrian,a5b9c5,19
0x1211b,GU2 TIMES NUN,Neo Assyrian,a5b3c4,12
0x12158,KA TIMES A,Neo Assyrian,a5b5,10
0x12162,KA TIMES GA,Neo Assyrian,a5b7c2,14
0x121b9,LAGAB TIMES A,Neo Assyrian,a5b2,7
0x121c4,LAGAB TIMES GA,Neo Assyrian,a5b4c2,11
0x12121,GUD OVER GUD LUGAL,Neo Assyrian,a5b13c4,22
0x12331,UR2 TIMES U2,Neo Assyrian,a5b8w1,14
0x12332,UR2 TIMES U2 PLUS ASH,Neo Assyrian,a5b9w1,15
0x12338,URU TIMES A,Neo Assyrian,a5b3,8
0x120e8,GA2 TIMES SUM,Neo Assyrian,a5b7,12
0x1217d,KA TIMES RU,Neo Assyrian,a5b6c2,13
0x12353,USH TIMES KU,Neo Assyrian,a5b6w1,12
0x120be,GA2 TIMES ASH2 PLUS GAL,Neo Assyrian,a5b9,14
0x12250,NIM TIMES GAN2 TENU,Neo Assyrian,a5b4w2,11
0x1223d,MUSH3 GUNU,Neo Assyrian,a5b5,10
0x12241,NAGA INVERTED,Neo Assyrian,a5b7,12
0x12240,NAGA,Neo Assyrian,a5b7,12
0x122c5,SHID TIMES IM,Neo Assyrian,a5b4c4,13
0x12056,DAG,Neo Assyrian,a5b2,7
0x1217e,KA TIMES SA,Neo Assyrian,a5b7,12
0x1220a,LU2 TIMES LAGAB,Neo Assyrian,a5b9,14
0x1221b,LUH,Old Assyrian,a5b6,11
0x12141,IB,Old Assyrian,a5b2,7
,SUG,Akkadian,a5b2,7
0x121e6,LAGAB TIMES U PLUS A,Akkadian,a5b2w1,8
0x121ea,LAGAB TIMES USH,Akkadian,a5b4w1,10
0x121d6,LAGAB TIMES LU,Akkadian,a5b5,10
0x121b7,LA,Akkadian,a5b7,12
,URU TIMES ISZ,Akkadian,a5b7w1,13
0x12347,URU TIMES MIN,Akkadian,a5b3,8
0x12259,NINDA2 TIMES NUN,Akkadian,a5b5w2,12
0x12419,five GESH2,Akkadian,a5,5
0x121b9,LAGAB TIMES A,Neo-Babylonian,a5b2,7
0x121c5,LAGAB TIMES GAR,Neo-Babylonian,a5b2,7
,DIR,Neo-Babylonian,a5b2,7
0x1200f,AB TIMES HA,Neo-Babylonian,a5b4w2,11
0x121b9,LAGAB TIMES A,Old Babylonian,a5b2,7
0x122c6,SHIM,Old Babylonian,a5b4w2,11
0x1209e,EREN,Old Babylonian,a5b6,11
0x1240a,FIVE DISH,Old Babylonian,a5,5
0x1240b,SIX DISH,Old Babylonian,a5,5
,DIR,Neo-Babylonian,a5b2,7
0x12326,UN,Old Babylonian,a5b2,7
0x120f6,GAN,Old Babylonian,a5b4c2,11
0x121b7,LA,Old Babylonian,a5b7,12
0x1223d,MUSH3 GUNU,Neo-Babylonian,a5b5,10
0x1231c,UDUG,Old Babylonian,a5b5w2,12
0x1236a,ZU,Old Babylonian,a5b3,8
0x1240a,FIVE DISH,Neo-Babylonian,a5,5
0x12056,DAG,Neo-Babylonian,a5b2,7
0x12056,DAG,Neo-Babylonian,a5b2,7
0x121c5,LAGAB TIMES GAR,Middle Hittite,a5b2,7
0x12165,KA TIMES GAR,Neo-Babylonian,a5b4w1,10
0x1208d,E2,Middle Hittite,a5b2,7
,DIR,Neo-Assyrian,a5b2,7
0x120a2,EZEN TIMES A,Neo-Assyrian,a5b7,12
0x120b2,EZEN TIMES LU,Neo-Assyrian,a5b7,12
0x120be,GA2 TIMES ASH2 PLUS GAL,Neo-Assyrian,a5b8w1,14
0x120c4,GA2 TIMES DI,Neo-Assyrian,a5b4w1,10
0x120ce,GA2 TIMES GI4,Neo-Assyrian,a5b6c4,15
0x120e4,GA2 TIMES SAR,Neo-Assyrian,a5b9,14
0x120e8,GA2 TIMES SUM,Neo-Assyrian,a5b7,12
0x12158,KA TIMES A,Middle Hittite,a5b4w1,10
0x12293,SA,Middle Hittite,a5b2,7
0x12326,UN,Middle Hittite,a5b2,7
0x121c4,LAGAB TIMES GA,Neo-Assyrian,a5b4w2,11
0x121ca,LAGAB TIMES HI TIMES NUN,Neo-Assyrian,a5b4c4,13
0x121d6,LAGAB TIMES LU,Neo-Assyrian,a5b6,11
0x121da,LAGAB TIMES MUSH,Neo-Assyrian,a5b3c4w1,13
0x1208d,E2,Middle Hittite,a5b2,7
0x1221b,LUH,Middle Hittite,a5b3,8
0x12326,UN,Middle Hittite,a5b2,7
0x1226e,NUNUZ AB2 TIMES ASHGAB,Akkadian,a6b4c4d4w1,19
0x1229e,SAG TIMES NUN,Akkadian,a8b3c1d1,13
0x12057,DAG KISIM5 TIMES A PLUS MASH,Akkadian,a8b6c2d2w1,19
0x12060,DAG KISIM5 TIMES HA,Akkadian,a8b5c2d2w4,21
0x12061,DAG KISIM5 TIMES IR,Akkadian,a7b5c3d3w2,20
0x12065,DAG KISIM5 TIMES LU,Akkadian,a7b8c2d2w2,21
0x12254,NINDA2 TIMES ASH,Akkadian,b5w2,7
0x12255,NINDA2 TIMES ASH PLUS ASH,Akkadian,b6w2,8
0x12257,NINDA2 TIMES ME PLUS GAN2 TENU,Akkadian,a6b5c2w2,15
0x12252,NINDA2,Akkadian,b4w2,6
0x12233,MUSH TIMES A,Akkadian,a7b1c2d2w1,13
0x12235,MUSH TIMES ZA,Akkadian,a8b1c2d2w1,14
0x12250,NIM TIMES GAN2 TENU,Akkadian,a6c3d1w2,12
0x1232d,UR2 TIMES A PLUS NA,Akkadian,a5b8c4d2w1,20
0x1232c,UR2 TIMES A PLUS HA,Akkadian,a9b4c2w2,17
0x1232f,UR2 TIMES HA,Akkadian,a6b4c2w2,14
