DIFT_similarity,mask,affine,global,OOB,total
-0.0002408084611589503,-0.00011713665576438263,0.0,0.0,8.842432498931886e-06,-0.000349102684743088
-0.00024080314566769326,-0.00012490830695605835,7.889629900455475e-06,7.996756583452225,5.293810367584229e-06,7.996404025637666
-0.00024291248872840594,-0.00012922433627051455,8.650945127010346e-06,2.0436661317944527,1.1206507682800294e-06,2.0433037591149423
-0.00024420594480842637,-0.0001379533736411152,1.0502754151821136e-05,4.824031889438629,0.0,4.823660173269402
-0.00024419397676764574,-0.00012794482445363728,1.2583243846893312e-05,6.7307040095329285,0.0,6.730344275161688
-0.00024420269083849335,-0.00014566284285404737,1.3835269212722778e-05,5.942421779036522,0.0,5.942045882882153
-0.0002441989033993903,-0.0001434839553243364,1.5631954371929168e-05,3.4650471061468124,0.0,3.4646750701439886
-0.000244187824642318,-0.0001499956653053232,1.800127625465393e-05,0.1653459039516747,0.0,0.16496972499710433
-0.00024419392472433776,-0.0001637920401815336,2.0165356993675233e-05,1.6263391822576523,0.0,1.6259513765504532
-0.0002441900011641943,-0.00016168694947652965,2.2212889790534974e-05,1.4544191770255566,0.0,1.4540354719859572
-0.00024419013101982675,-0.0001624969600898718,2.3712144792079926e-05,0.015407029422931373,0.0,0.015024054592193796
-0.00024365342334123043,-0.0001620340411798679,2.4746164679527285e-05,2.430190332233906,5.378127098083496e-07,2.429809921296354
-0.00024418794439245376,-0.00016728136470214847,2.5950098037719728e-05,3.362099453806877,0.0,3.361713889891851
-0.0002441753656765084,-0.00017547534189422246,2.7377268671989444e-05,3.05007491260767,0.0,3.049682542310094
-0.00024417243558774417,-0.00018752278448616074,2.8735220432281496e-05,1.703122816979885,0.0,1.7027198942322443
-0.00024418076878242166,-0.00018029634316286925,2.991684675216675e-05,0.5137208383530378,0.0,0.5133262501473759
-0.0002441858212276,-0.00017670254016993563,3.0709469318389896e-05,1.4402227476239204,0.0,1.4398325612788974
-0.00024418545348857553,-0.00018275417330150954,3.137307167053223e-05,1.2645131908357143,0.0,1.264117568400239
-0.000244182802008355,-0.00018059710822999477,3.21146547794342e-05,0.14141760766506195,0.0,0.1410249424092829
-0.0002440570559782726,-0.00018927791571574437,3.2723510265350343e-05,1.8003486096858978,1.2454986572265624e-07,1.7999481525766132
-0.0002441908690242498,-0.0001978000193475357,3.345921039581299e-05,2.5845296680927277,0.0,2.584121106609804
-0.0002441950972651183,-0.00019243840421549974,3.412431478500367e-05,2.3595429956912994,0.0,2.359140575910756
-0.00024419845360373275,-0.0001838459340089078,3.4364870190620426e-05,1.2516962364315987,0.0,1.2513025494614483
-0.0002442153062373917,-0.00019785667428513987,3.4676152467727664e-05,0.6308766547590494,0.0,0.6304692645181618
-0.00024419616491084325,-0.00019327548961640178,3.4966799616813664e-05,1.4194663614034653,0.0,1.4190638714472015
-0.0002442043407629373,-0.0001940806547645479,3.551628887653351e-05,1.2430600821971893,0.0,1.2426573432923194
-0.00024421036192102795,-0.00019319815364627474,3.588641583919525e-05,0.21366016007959843,0.0,0.2132586435682656
-0.00024421716756882635,-0.00018801482312070825,3.614844381809235e-05,1.571119949221611,0.0,1.5707238209691605
-0.0002438756804015914,-0.00019163338522582002,3.632298409938812e-05,2.3070137947797775,3.350973129272461e-07,2.306614899092634
-0.00024421530088147847,-0.00020647352195034423,3.63452285528183e-05,2.1110689267516136,0.0,2.110654620408957
-0.00024421957924561057,-0.0002071421017986722,3.626100420951843e-05,1.0862058028578758,0.0,1.0857907394341595
