x0,y0,x1,y1,score,label,sign
1926.0,3980.0,2250.6,4294.7,0.983,39,|HI×BAD|
1617.5,4330.4,2006.7,4604.8,0.983,39,|HI×BAD|
1592.9,4017.2,1903.5,4319.7,0.958,66,IA₂
397.4,4061.6,700.7,4303.2,0.956,141,GUD
1132.6,704.1,1412.4,904.5,0.951,33,AN
203.2,4028.1,391.4,4324.4,0.951,40,|UD×(U.U.U)|
1353.0,904.3,1715.8,1117.5,0.949,124,SA
1922.8,414.0,2213.0,593.5,0.942,33,AN
766.9,923.5,1243.9,1175.8,0.94,9,LI
1756.7,658.8,2035.6,875.5,0.938,24,MU
239.0,4348.1,525.2,4583.9,0.933,24,MU
816.2,704.8,1115.4,939.5,0.931,88,ŠA
1986.5,848.0,2359.0,1078.5,0.923,2,TUM
979.5,4059.2,1263.3,4374.1,0.919,12,DI
1676.9,145.1,1979.4,298.6,0.911,133,AD
191.7,754.3,525.6,975.0,0.909,49,IGI
854.4,4374.7,1313.7,4638.7,0.909,38,UnclearSign
723.8,4116.9,956.0,4377.8,0.903,29,SI
151.9,145.2,524.5,326.5,0.893,49,IGI
1443.1,694.2,1710.7,882.3,0.882,17,LU
1263.3,4064.3,1541.7,4374.6,0.881,37,UD
164.6,299.2,531.3,524.6,0.877,49,IGI
2046.9,648.9,2365.3,819.6,0.872,67,UR
1518.3,269.7,1755.5,475.7,0.858,73,IM
824.1,297.4,1065.9,477.5,0.845,33,AN
1967.9,266.2,2199.6,414.5,0.811,33,AN
199.6,972.4,493.1,1205.7,0.808,49,IGI
177.7,520.1,524.6,757.8,0.796,49,IGI
2193.5,241.3,2386.5,407.4,0.794,92,NI
1986.4,140.4,2152.7,274.0,0.781,33,AN
828.1,143.2,1068.0,308.5,0.759,92,NI
1056.3,154.8,1431.9,308.9,0.727,142,A₂
1758.8,282.9,1976.0,467.7,0.721,53,GUR
546.8,4363.5,824.6,4633.9,0.642,45,KI
2148.8,140.4,2367.3,265.7,0.567,131,|EN.ZU|
