x0,y0,x1,y1,score,label,sign
1627.1,1661.7,1944.4,1818.1,0.981,167,MUŠ
1628.2,906.8,1878.9,1041.8,0.973,42,AK
2169.2,581.4,2363.5,705.5,0.971,100,GIŠ
986.8,1940.2,1239.9,2106.8,0.97,108,NAM
2922.8,665.9,3151.5,780.9,0.967,41,AB
2870.3,1521.3,3158.9,1659.3,0.966,41,AB
2090.5,1534.5,2356.5,1689.0,0.966,34,NA
2567.6,1305.1,2782.3,1445.1,0.965,20,|GUD×KUR|
1405.1,1457.7,1701.8,1604.9,0.964,92,NI
2009.0,688.5,2230.7,826.8,0.963,142,A₂
2732.3,1100.9,3030.2,1225.5,0.961,33,AN
1109.8,720.8,1446.2,848.9,0.961,145,|IGI.DIB|
888.2,1488.1,1163.7,1629.2,0.96,22,E₂
2050.0,1113.5,2339.9,1259.2,0.96,70,ZU
2635.3,973.7,2932.6,1125.9,0.959,9,LI
1460.6,2050.3,1681.0,2194.8,0.958,118,TAG
3053.3,1625.6,3401.3,1777.0,0.957,38,UnclearSign
2454.8,1087.4,2734.6,1245.4,0.957,34,NA
1363.9,2188.4,1612.3,2357.7,0.956,19,DA
2609.9,761.1,2941.2,907.1,0.955,9,LI
1465.1,305.7,1668.0,426.9,0.955,41,AB
2430.4,1643.8,2744.2,1778.2,0.954,50,U₂
2928.0,768.5,3180.2,890.0,0.954,100,GIŠ
1439.5,714.5,1700.1,848.1,0.953,72,NE
1682.0,1460.9,1888.6,1586.6,0.953,92,NI
806.9,1846.1,1026.0,1991.5,0.952,33,AN
1367.8,909.5,1638.3,1057.1,0.952,72,NE
1428.4,1690.7,1656.2,1829.4,0.952,92,NI
1607.4,599.7,1883.0,733.3,0.951,133,AD
1235.3,288.2,1475.4,437.3,0.95,19,DA
692.0,1395.5,910.0,1527.3,0.95,22,E₂
1332.8,811.1,1561.5,945.2,0.949,21,MA
2048.1,899.0,2214.0,1042.5,0.947,5,GAR
2191.1,866.9,2423.8,1028.5,0.947,93,IG
1355.5,598.3,1615.3,736.7,0.947,19,DA
2725.5,1631.4,3033.3,1782.0,0.946,68,KAL
651.2,1152.8,875.9,1308.5,0.944,34,NA
2143.3,1431.6,2353.5,1575.1,0.944,8,TI
1656.6,1352.0,1904.4,1482.7,0.942,45,KI
2344.5,565.1,2655.6,694.0,0.942,124,SA
1095.2,612.0,1375.4,747.6,0.941,38,UnclearSign
1055.4,933.1,1388.8,1063.2,0.939,145,|IGI.DIB|
2325.3,1330.9,2576.4,1457.4,0.939,33,AN
1143.7,1471.4,1418.5,1621.5,0.938,91,BU
1960.4,78.1,2259.4,206.9,0.938,72,NE
3010.3,1402.5,3271.7,1542.7,0.937,33,AN
1072.2,827.3,1341.4,954.3,0.935,22,E₂
2626.1,658.7,2931.5,795.7,0.935,74,RA
3065.0,863.2,3278.0,986.0,0.934,41,AB
1217.4,1811.0,1469.7,1961.2,0.934,27,EN
1119.4,1705.7,1379.6,1849.4,0.933,21,MA
2629.1,535.7,2896.2,686.5,0.933,1,|U.GUD|
2705.7,1205.1,2981.0,1335.9,0.933,3,LA
1771.1,1900.0,2025.5,2059.0,0.931,21,MA
728.1,730.6,940.3,855.3,0.931,121,IR
1305.9,2521.5,1540.3,2677.7,0.931,108,NAM
1660.7,2041.3,1892.7,2199.8,0.93,3,LA
1954.9,802.5,2232.5,918.7,0.93,90,ME
3182.2,1514.8,3458.9,1662.8,0.93,83,LAL
2774.4,1396.5,3012.2,1551.9,0.93,21,MA
1021.3,1589.0,1282.8,1742.1,0.93,27,EN
909.3,516.6,1182.8,648.9,0.929,70,ZU
2155.1,271.2,2388.1,411.9,0.929,3,LA
2839.0,869.4,3082.7,1001.5,0.927,74,RA
1158.4,504.6,1412.1,641.9,0.926,93,IG
1865.7,903.6,2069.7,1040.0,0.926,71,ŠU
1911.3,1015.4,2228.6,1146.8,0.924,74,RA
876.0,1044.5,1116.2,1191.6,0.924,0,TU
864.8,834.0,1085.2,965.3,0.924,45,KI
1426.2,1130.8,1705.9,1274.7,0.922,27,EN
2573.3,148.0,2802.8,274.3,0.921,52,BI
3016.7,1062.5,3268.4,1218.5,0.921,87,RU
2580.4,250.6,2805.0,379.6,0.921,52,BI
1200.0,2063.5,1472.8,2224.1,0.918,16,BA
723.5,304.9,973.1,453.3,0.917,108,NAM
2437.8,661.8,2628.6,817.1,0.917,104,HA
3184.1,961.9,3408.8,1101.4,0.915,49,IGI
1087.1,1033.0,1326.7,1184.7,0.915,38,UnclearSign
2906.2,965.6,3230.3,1112.6,0.914,140,SAR
1398.5,1570.8,1674.1,1720.2,0.914,45,KI
2964.2,1191.3,3222.7,1329.2,0.913,4,TA
2335.4,1432.6,2578.6,1560.1,0.911,33,AN
1140.4,2194.4,1380.8,2365.2,0.911,38,UnclearSign
2558.5,1408.4,2778.1,1554.9,0.911,20,|GUD×KUR|
608.3,1040.4,884.5,1183.8,0.911,2,TUM
863.9,1271.2,1113.6,1418.7,0.909,3,LA
2769.3,1294.6,3015.6,1435.7,0.909,21,MA
1120.3,1376.8,1311.4,1519.1,0.909,5,GAR
963.3,307.7,1256.5,443.3,0.909,79,IN
2021.4,1896.6,2238.9,2050.8,0.908,21,MA
2205.7,1888.3,2419.4,2045.1,0.906,38,UnclearSign
1473.5,1896.6,1797.6,2077.2,0.905,38,UnclearSign
644.0,945.8,833.2,1068.3,0.901,168,BAR
1002.7,1813.5,1233.6,1977.2,0.9,87,RU
2341.3,1542.9,2604.1,1672.9,0.898,33,AN
2214.2,1002.6,2425.3,1134.4,0.897,11,A
2426.6,175.7,2594.5,294.2,0.897,11,A
2210.0,682.8,2451.9,817.9,0.896,170,TUK
1660.2,1553.9,1989.8,1696.6,0.896,38,UnclearSign
1411.8,192.7,1630.4,319.4,0.894,3,LA
