x0,y0,x1,y1,score,label,sign
233.9,253.8,404.6,358.8,0.975,112,IB
463.7,138.8,625.9,245.4,0.973,30,|I.A|
169.3,627.1,316.0,749.9,0.971,40,|UD×(U.U.U)|
311.3,627.9,437.6,745.9,0.969,38,UnclearSign
399.7,239.2,526.2,358.4,0.969,92,NI
515.4,240.0,624.6,355.9,0.969,33,AN
633.3,127.1,737.5,240.8,0.969,20,|GUD×KUR|
733.6,120.8,854.1,236.3,0.964,49,IGI
556.3,584.8,671.3,710.9,0.963,37,UD
314.0,742.2,456.3,840.7,0.952,13,MI
344.4,137.3,456.9,241.4,0.945,31,HI
261.4,121.8,348.7,234.0,0.937,11,A
630.9,226.7,794.5,356.2,0.921,73,IM
439.2,613.4,554.3,732.9,0.904,47,KU₃
125.4,249.0,232.3,351.0,0.886,49,IGI
