image,sign,name,hex,mean_shift_px,max_shift_px,iou
HS.2035_11,MU,MU,0x1222c,49.16703343180471,99.46168377447951,0.19806585088127276
HS.2035_8,UR₂,UR2,0x1232b,45.47097000477145,104.87346814871808,0.19573514769332892
HS.2035_16,MU,MU,0x1222c,38.34738309724738,69.33602817621042,0.19229503939052897
HS.2035_15,ZA,ZA,0x1235d,74.95245589117525,112.15435347891605,0.14941127348643007
HS.2035_10,BI,BI,0x12049,47.32829181864564,95.54778605469879,0.12927287461323117
HS.2035_14,NI,NI,0x1224c,55.895939184398586,122.3187632229634,0.1244247655530957
HS.2035_12,DU,DU,0x1207a,56.88302166350974,111.14469219880606,0.1180464922733549
HS.2035_4,AB₂,AB2,0x12016,48.72596089921888,75.07085776784966,0.09939096986903563
HS.2035_6,GAR,GAR,0x120fb,69.45356029161175,92.02765059380286,0.09396729123795083
HS.2035_13,GIR₃,GIR3,0x1210a,54.44145138740409,88.03719259778626,0.0912293681410629
HS.2035_7,NU,NU,0x12261,49.67321773978912,91.51738979371837,0.08470060998381676
HS.2035_3,DIŠ,DISH,0x12079,96.74344164919043,156.4707204846716,0.033799565088995676
