DIFT_similarity,mask,affine,global,OOB,total
-0.000244353955673028,-0.00015817572000514094,0.0,0.0,0.0,-0.00040252967567816895
-0.00024434848261686664,-0.00016294979133759624,7.990599423646927e-06,7.994885742664337,0.0,7.99448661380376
-0.00024435269879177215,-0.00017414155226006794,1.0144933313131333e-05,2.041793428361416,0.0,2.0413849970871625
-0.00024434649078304777,-0.00017006512281058045,1.1566612869501114e-05,4.825904965400696,0.0,4.825502001190369
-0.000244364882706173,-0.00018834060091234278,1.3329161703586579e-05,6.732577830553055,0.0,6.732158424428562
-0.0002443549430204762,-0.00018940201363332258,1.4959442615509033e-05,5.944297835230827,0.0,5.943878993013214
-0.00024434868812224725,-0.00019013272564858197,1.6689394414424896e-05,3.466925024986267,0.0,3.4665073521750913
-0.00024434338572771393,-0.00019431303209935626,1.8461821973323822e-05,0.16346632037311792,0.0,0.16304612484600564
-0.00024434955824593395,-0.0001997133136789004,1.9852668046951293e-05,1.6244562342762947,0.0,1.624032076225244
-0.0002443594906556731,-0.00019509693125961347,2.0594727993011474e-05,1.4525331556797028,0.0,1.4521142641826403
-0.00024434463937521083,-0.00019759203462551037,2.0907579362392427e-05,0.01351828541373834,0.0,0.01309725591108468
-0.0002443392711736831,-0.0001996269484857718,2.1039429306983947e-05,2.432081289589405,0.0,2.4316582957427677
-0.00024435326663984193,-0.00020822754850960334,2.121916115283966e-05,3.3639926463365555,0.0,3.363561329385661
-0.0002443261249734658,-0.00020288774743035902,2.1518853306770325e-05,3.051969036459923,0.0,3.051543356340689
-0.0002443395447496894,-0.0002052942403499037,2.1358609199523927e-05,1.7050182446837425,0.0,1.704590006759683
-0.0002443420775913789,-0.0002096915851905942,2.1115823090076446e-05,0.5118250846862793,0.0,0.5113921668456619
-0.00024433304052864615,-0.00020398713707814748,2.1124176681041718e-05,1.4383262023329735,0.0,1.4378990435850525
-0.0002443213449118452,-0.0002064987262121091,2.1227370202541354e-05,1.262616366147995,0.0,1.2621868032490642
-0.0002443389663110591,-0.00021915104152324296,2.11095929145813e-05,0.13952053850516677,0.0,0.13907816041776477
-0.0002443235715165631,-0.00020731333559068538,2.0961725711822512e-05,1.8022459000349045,0.0,1.801815180148972
-0.0002443372259828417,-0.00020725792711440892,2.089236229658127e-05,2.5864269584417343,0.0,2.5859962705509334
-0.0002443274964914761,-0.0002117309079474459,2.0855188369750976e-05,2.361440658569336,0.0,2.361005455353165
-0.0002443393063408116,-0.0002055029606485429,2.1162770688533785e-05,1.25359408557415,0.0,1.2531653613739582
-0.00024432813523971063,-0.00020540555656033878,2.1613125503063204e-05,0.6289784796535969,0.0,0.6285503702624403
-0.0002443489346155224,-0.00021064790586591698,2.19058558344841e-05,1.4175678603351116,0.0,1.4171347581734965
-0.00024432408592676644,-0.00021628592873613038,2.1883764863014223e-05,1.2411611154675484,0.0,1.2407223817672348
-0.00024432978785221673,-0.00021326490368694064,2.1788518130779267e-05,0.21176026202738285,0.0,0.21132446144096695
