face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P359136_obverse,obverse,7,7,0,0.571,0.65,20,0.011,0.737
P361632_obverse,obverse,10,10,0,0.8,0.455,55,0.043,0.737
P272898_left,left,2,2,0,0.5,0.714,7,0.0,0.738
P357776_obverse,obverse,22,22,0,0.727,0.53,100,0.045,0.738
P357840_left,left,2,2,0,0.5,0.714,7,0.0,0.738
P359953_reverse,reverse,4,,,,,0,0.262,0.738
P389647_reverse,reverse,8,,,0.625,0.8,25,0.212,0.738
P389660_reverse,reverse,6,,,,,0,0.262,0.738
P390641_left,left,2,2,0,0.5,0.714,7,0.0,0.738
P333894_obverse,obverse,14,14,0,0.714,0.544,79,0.043,0.739
P333908_left,left,3,3,0,0.667,0.583,24,0.032,0.739
P357634_left,left,4,4,0,0.75,0.5,32,0.034,0.739
P358713_reverse,reverse,7,7,0,0.571,0.658,38,0.012,0.739
P359313_reverse,reverse,9,9,0,0.778,0.469,49,0.031,0.739
P359949_obverse,obverse,14,14,0,0.357,0.9,20,0.04,0.739
P361044_left,left,4,4,0,0.5,0.731,26,0.012,0.739
P333899_left,left,3,3,0,0.667,0.562,16,0.01,0.74
P357734_reverse,reverse,9,9,0,0.667,0.594,32,0.041,0.74
P358530_left,left,5,5,0,0.6,0.639,61,0.02,0.74
P360982_obverse,obverse,9,9,0,0.667,0.607,28,0.053,0.74
P389561_obverse,obverse,9,,,,,1,0.26,0.74
P390564_left,left,4,4,0,0.5,,2,0.021,0.74
P357363_obverse,obverse,19,19,0,0.842,0.44,100,0.059,0.741
P359114_reverse,reverse,9,9,0,0.778,0.478,46,0.032,0.741
P359133_left,left,4,4,0,0.5,,2,0.017,0.741
P359297_reverse,reverse,18,18,0,0.778,0.51,100,0.066,0.741
P250581_obverse,obverse,5,,,0.8,0.625,16,0.198,0.742
P260383_reverse,reverse,7,7,0,0.571,0.667,9,0.012,0.742
P357689_reverse,reverse,4,4,0,0.5,,4,0.016,0.742
P359277_obverse,obverse,15,15,0,0.667,0.58,50,0.019,0.742
P359338_obverse,obverse,10,10,0,0.8,0.462,13,0.036,0.742
P359351_reverse,reverse,6,6,0,0.833,0.417,12,0.023,0.742
P360975_left,left,5,5,0,0.6,0.65,20,0.024,0.742
P250556_obverse,obverse,4,,,1.0,0.386,57,0.158,0.743
P333898_reverse,reverse,14,14,0,0.643,0.656,64,0.071,0.743
P357513_reverse,reverse,12,,,0.75,0.55,100,0.071,0.743
P357761_obverse,obverse,4,4,0,0.5,,4,0.015,0.743
P358514_obverse,obverse,16,16,0,0.75,0.51,100,0.03,0.743
P359088_obverse,obverse,14,14,0,0.571,0.687,83,0.029,0.743
P359091_obverse,obverse,8,8,0,0.875,0.4,35,0.045,0.743
P359395_obverse,obverse,12,12,0,0.583,0.667,12,0.022,0.743
P361140_obverse,obverse,10,10,0,0.7,0.583,24,0.055,0.743
P260377_obverse,obverse,11,11,0,0.818,0.471,34,0.056,0.744
P357912_left,left,4,4,0,0.5,,4,0.011,0.744
P358197_reverse,reverse,4,4,0,0.5,,2,0.013,0.744
P358252_reverse,reverse,5,5,0,0.6,0.667,18,0.036,0.744
P358289_reverse,reverse,5,5,0,0.4,0.857,7,0.027,0.744
P359142_obverse,obverse,10,10,0,0.7,0.585,41,0.052,0.744
P359242_left,left,4,4,0,0.5,0.75,16,0.019,0.744
P357592_left,left,3,3,0,0.667,0.571,14,0.002,0.745
P357684_left,left,4,4,0,0.75,0.5,14,0.015,0.745
P357836_obverse,obverse,26,26,0,0.615,0.68,100,0.061,0.745
P357937_reverse,reverse,17,17,0,0.824,0.483,58,0.071,0.745
P361003_left,left,4,4,0,0.5,,4,0.011,0.745
P393099_reverse,reverse,10,10,0,0.9,0.351,37,0.017,0.745
P357700_reverse,reverse,12,12,0,0.583,0.689,45,0.033,0.746
P358228_reverse,reverse,18,18,0,0.778,0.5,84,0.041,0.746
P358419_reverse,reverse,8,8,0,0.75,0.516,31,0.029,0.746
P358432_obverse,obverse,15,15,0,0.733,0.574,54,0.07,0.746
