face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357977_reverse,reverse,5,5,0,0.6,,4,0.008,0.796
P358030_left,left,2,2,0,0.5,0.889,9,0.0,0.796
P359131_left,left,3,3,0,0.667,0.727,11,0.006,0.796
P361693_obverse,obverse,14,14,0,0.786,0.663,83,0.061,0.796
P250575_reverse,reverse,12,,,0.917,0.608,79,0.133,0.797
P357550_obverse,obverse,6,6,0,0.833,0.6,15,0.043,0.797
P359094_left,left,3,3,0,0.667,0.727,11,0.0,0.798
P359187_reverse,reverse,4,4,0,0.75,0.667,9,0.023,0.798
P389624_obverse,obverse,8,,,0.875,0.594,32,0.076,0.798
P333919_obverse,obverse,7,7,0,0.857,0.571,14,0.032,0.799
P358409_obverse,obverse,12,12,0,0.833,0.611,54,0.049,0.799
P358464_obverse,obverse,7,7,0,0.857,0.568,37,0.027,0.799
P358599_left,left,3,3,0,0.667,0.75,16,0.019,0.799
P359094_obverse,obverse,11,11,0,0.727,0.717,46,0.047,0.799
P357599_reverse,reverse,6,6,0,1.0,0.421,19,0.022,0.8
P358223_left,left,2,2,0,1.0,0.4,5,0.0,0.8
P359289_obverse,obverse,16,16,0,0.812,0.656,93,0.07,0.8
P361614_obverse,obverse,9,9,0,0.778,0.667,33,0.044,0.8
P260365_obverse,obverse,15,15,0,0.733,0.698,43,0.028,0.801
P357416_left,left,6,6,0,0.667,0.735,34,0.0,0.801
P359328_reverse,reverse,16,16,0,0.875,0.557,97,0.03,0.801
P357364_left,left,4,4,0,0.75,0.66,100,0.004,0.802
P359314_left,left,3,3,0,0.667,0.769,13,0.031,0.802
P260366_reverse,reverse,3,3,0,0.667,0.75,8,0.009,0.803
P359205_left,left,3,3,0,0.667,0.75,8,0.008,0.803
P359269_reverse,reverse,3,3,0,0.667,0.75,8,0.006,0.803
P359379_left,left,2,2,0,0.5,0.909,11,0.0,0.803
P389624_reverse,reverse,7,,,0.857,0.6,20,0.044,0.804
P358495_reverse,reverse,15,15,0,0.867,0.591,88,0.043,0.805
P359171_obverse,obverse,7,7,0,0.857,0.571,21,0.013,0.805
P357829_reverse,reverse,12,12,0,0.917,0.559,68,0.058,0.806
P357923_obverse,obverse,5,5,0,0.8,0.625,8,0.006,0.806
P359244_reverse,reverse,7,7,0,0.571,0.875,8,0.027,0.806
P359303_left,left,3,3,0,0.667,0.75,8,0.0,0.806
P359304_reverse,reverse,7,7,0,0.714,0.722,36,0.017,0.806
P359357_obverse,obverse,5,5,0,0.6,0.833,6,0.017,0.806
P250560_obverse,obverse,8,,,0.875,0.75,40,0.203,0.807
P359965_left,left,3,3,0,0.667,0.792,24,0.036,0.807
P361080_obverse,obverse,6,6,0,0.833,0.636,22,0.048,0.807
P361158_obverse,obverse,6,6,0,0.833,0.6,10,0.011,0.807
P357776_reverse,reverse,21,21,0,0.857,0.62,100,0.052,0.808
P358500_reverse,reverse,7,7,0,0.857,0.591,22,0.023,0.808
P333927_reverse,reverse,5,5,0,0.8,0.652,23,0.026,0.809
P393097_reverse,reverse,9,9,0,0.778,0.679,28,0.03,0.809
P358203_reverse,reverse,9,9,0,0.889,0.588,17,0.043,0.811
P361051_obverse,obverse,9,9,0,0.889,0.583,24,0.038,0.811
P272900_reverse,reverse,7,7,0,0.714,0.75,24,0.029,0.812
P357813_reverse,reverse,5,5,0,0.8,0.649,37,0.013,0.812
P358207_obverse,obverse,15,15,0,0.8,0.696,56,0.062,0.812
P358597_reverse,reverse,5,5,0,0.8,0.667,30,0.031,0.812
P368424_reverse,reverse,8,8,0,1.0,0.474,38,0.038,0.812
P333901_left,left,4,4,0,0.75,0.714,14,0.026,0.813
P357830_reverse,reverse,10,10,0,0.7,0.789,38,0.048,0.814
P359046_left,left,3,3,0,0.667,,2,0.036,0.815
P357376_reverse,reverse,16,16,0,0.938,0.526,57,0.017,0.816
P358275_obverse,obverse,6,6,0,0.833,0.652,23,0.039,0.816
P359131_obverse,obverse,5,5,0,0.6,0.875,8,0.028,0.816
P361566_left,left,3,3,0,0.667,0.8,15,0.018,0.816
P250574_reverse,reverse,10,,,0.9,0.795,39,0.244,0.817
P357674_left,left,3,3,0,0.667,0.8,10,0.016,0.817
P358030_obverse,obverse,15,15,0,0.867,0.63,100,0.047,0.817
P358500_obverse,obverse,6,6,0,0.667,0.833,24,0.049,0.817
P358577_obverse,obverse,13,13,0,0.846,0.648,91,0.044,0.817
P359121_reverse,reverse,3,3,0,0.667,,2,0.033,0.817
P357430_left,left,4,4,0,0.5,0.968,31,0.015,0.818
P361149_obverse,obverse,9,9,0,0.889,0.591,22,0.026,0.818
P333893_left,left,3,3,0,0.667,0.789,19,0.0,0.819
P359277_left,left,4,4,0,0.75,0.733,15,0.026,0.819
P359334_left,left,3,3,0,0.667,0.8,5,0.011,0.819
P250565_reverse,reverse,14,,,0.857,0.757,37,0.155,0.82
P357607_left,left,4,4,0,0.75,0.75,12,0.041,0.82
P357665_left,left,3,3,0,0.667,0.811,37,0.017,0.82
P361117_left,left,5,5,0,0.6,0.872,47,0.011,0.82
P358285_reverse,reverse,5,,,,,0,0.179,0.821
P359949_right,right,3,3,0,0.667,,2,0.024,0.821
P359262_reverse,reverse,6,6,0,0.833,0.682,22,0.05,0.822
P361160_obverse,obverse,11,11,0,0.727,0.792,24,0.054,0.822
P359243_left,left,3,3,0,0.667,,4,0.021,0.823
P393096_obverse,obverse,6,6,0,1.0,0.483,29,0.015,0.823
P250568_reverse,reverse,7,,,0.857,0.676,37,0.061,0.824
P358536_left,left,4,4,0,0.75,0.75,24,0.027,0.824
P359077_left,left,4,4,0,0.75,0.739,23,0.017,0.824
P359092_obverse,obverse,10,10,0,0.9,0.612,49,0.04,0.824
P359315_left,left,3,3,0,0.667,,3,0.017,0.825
P361041_left,left,3,3,0,0.667,,3,0.017,0.825
P361087_left,left,3,3,0,0.667,,2,0.016,0.825
P390552_left,left,4,4,0,0.75,0.75,8,0.024,0.825
P359180_left,left,3,3,0,0.667,0.818,11,0.007,0.826
P368447_obverse,obverse,14,,,0.929,0.64,100,0.09,0.826
P260363_reverse,reverse,16,16,0,0.75,0.75,68,0.02,0.827
P333926_left,left,3,3,0,0.667,,4,0.011,0.828
P358231_reverse,reverse,10,10,0,0.9,0.625,24,0.04,0.828
P359092_left,left,3,3,0,0.667,,4,0.011,0.828
P358277_reverse,reverse,3,3,0,0.667,,3,0.008,0.829
P359192_reverse,reverse,7,7,0,1.0,0.528,36,0.042,0.829
P393106_obverse,obverse,9,9,0,0.778,0.75,24,0.041,0.829
P250566_obverse,obverse,5,,,0.8,1.0,12,0.309,0.83
P333940_obverse,obverse,8,8,0,0.75,0.789,19,0.049,0.83
P357547_left,left,3,3,0,0.667,0.833,6,0.011,0.83
P359100_left,left,3,3,0,0.667,,3,0.006,0.83
P361042_left,left,3,3,0,1.0,0.5,6,0.01,0.83
P358461_obverse,obverse,7,7,0,0.857,0.657,35,0.021,0.831
P359294_left,left,4,4,0,0.5,1.0,9,0.008,0.831
P359342_left,left,4,4,0,0.5,1.0,6,0.006,0.831
P357805_reverse,reverse,4,4,0,0.75,0.75,16,0.005,0.832
P357936_obverse,obverse,13,13,0,0.769,0.757,37,0.03,0.832
P358724_left,left,3,3,0,0.667,0.857,7,0.027,0.832
P333889_left,left,3,3,0,0.667,,4,0.0,0.833
P357531_left,left,2,2,0,1.0,0.5,14,0.0,0.833
P357568_left,left,2,2,0,0.5,1.0,18,0.0,0.833
P357593_left,left,2,2,0,0.5,1.0,10,0.0,0.833
P358587_reverse,reverse,2,2,0,1.0,0.5,6,0.0,0.833
P359139_left,left,2,2,0,0.5,1.0,9,0.0,0.833
P359289_left,left,4,4,0,0.75,0.765,34,0.014,0.833
P359318_left,left,2,2,0,0.5,1.0,6,0.0,0.833
P359375_reverse,reverse,4,4,0,0.75,0.765,17,0.016,0.833
P359950_left,left,2,2,0,0.5,1.0,7,0.0,0.833
P393109_left,left,3,3,0,0.667,,4,0.0,0.833
P250548_obverse,obverse,11,,,0.909,0.818,33,0.225,0.834
P333935_left,left,4,4,0,0.75,0.769,13,0.017,0.834
P357800_reverse,reverse,9,9,0,0.889,0.643,42,0.028,0.835
P359287_reverse,reverse,14,14,0,0.929,0.629,62,0.051,0.835
P333920_obverse,obverse,7,7,0,0.714,,4,0.036,0.839
P357530_left,left,4,4,0,0.75,0.783,23,0.016,0.839
P359355_reverse,reverse,3,,,,,0,0.161,0.839
P361185_obverse,obverse,5,5,0,1.0,0.533,15,0.016,0.839
P361164_reverse,reverse,3,3,0,0.667,0.857,7,0.005,0.84
P357560_reverse,reverse,7,7,0,0.857,0.7,40,0.035,0.841
P358219_obverse,obverse,16,16,0,0.875,0.689,90,0.042,0.841
P359102_left,left,3,3,0,0.667,0.875,8,0.02,0.841
P359265_left,left,3,3,0,0.667,0.857,7,0.0,0.841
P359294_reverse,reverse,14,14,0,0.857,0.729,48,0.064,0.841
P359372_reverse,reverse,6,6,0,0.833,0.706,17,0.015,0.841
P358445_reverse,reverse,6,6,0,0.833,0.714,28,0.021,0.842
P359264_obverse,obverse,8,8,0,0.875,0.7,20,0.049,0.842
P357949_left,left,4,4,0,0.75,0.8,5,0.021,0.843
P359120_obverse,obverse,8,8,0,1.0,0.571,42,0.044,0.843
P359223_obverse,obverse,4,4,0,0.75,0.833,12,0.055,0.843
P359265_obverse,obverse,9,9,0,0.889,0.688,16,0.049,0.843
P359285_left,left,3,3,0,0.667,0.875,8,0.01,0.844
P361119_left,left,3,3,0,0.667,0.875,8,0.008,0.844
P333937_reverse,reverse,6,,,,,0,0.155,0.845
P357554_reverse,reverse,7,7,0,0.714,0.857,21,0.038,0.845
P389672_obverse,obverse,6,,,1.0,0.571,28,0.037,0.845
P359070_left,left,5,5,0,0.8,0.776,67,0.038,0.846
P389595_obverse,obverse,2,,,1.0,0.538,65,0.0,0.846
P358425_obverse,obverse,11,11,0,0.909,0.654,52,0.022,0.847
P357345_obverse,obverse,12,12,0,0.917,0.688,64,0.056,0.849
P359106_reverse,reverse,8,8,0,0.75,0.818,22,0.017,0.85
P357693_left,left,3,3,0,0.667,0.909,11,0.024,0.851
P358262_reverse,reverse,7,7,0,0.857,0.737,19,0.04,0.851
P359034_left,left,4,4,0,0.75,,3,0.048,0.851
P359211_reverse,reverse,8,8,0,0.875,0.714,21,0.033,0.852
P405529_obverse,obverse,6,,,1.0,0.857,14,0.301,0.852
P333906_obverse,obverse,14,14,0,0.857,0.787,89,0.084,0.853
P357495_reverse,reverse,7,7,0,0.714,0.857,7,0.013,0.853
P358545_left,left,4,4,0,0.75,,4,0.044,0.853
P359044_obverse,obverse,11,11,0,0.909,0.69,42,0.04,0.853
P359241_reverse,reverse,8,,,0.875,0.833,18,0.15,0.853
P261866_obverse,obverse,11,11,0,0.909,0.706,17,0.052,0.854
P250567_obverse,obverse,12,,,0.833,0.821,56,0.09,0.855
P357560_obverse,obverse,7,7,0,0.857,0.727,33,0.02,0.855
P389670_obverse,obverse,8,,,,,1,0.145,0.855
P359040_obverse,obverse,9,9,0,1.0,0.596,52,0.027,0.856
P357370_reverse,reverse,4,4,0,0.75,,4,0.035,0.857
P357763_obverse,obverse,5,5,0,0.8,0.8,25,0.029,0.857
P359395_reverse,reverse,3,,,,,0,0.143,0.857
P361123_left,left,2,2,0,1.0,0.571,7,0.0,0.857
P359064_reverse,reverse,16,16,0,0.812,0.821,56,0.061,0.858
P359177_left,left,4,4,0,0.75,0.833,6,0.01,0.858
P357554_obverse,obverse,5,5,0,0.8,0.812,16,0.036,0.859
P358207_reverse,reverse,10,10,0,1.0,0.609,46,0.031,0.859
P359061_obverse,obverse,21,21,0,0.81,0.791,67,0.022,0.859
P359276_left,left,3,3,0,0.667,0.917,12,0.007,0.859
P359165_obverse,obverse,3,3,0,1.0,0.583,12,0.005,0.86
P361122_left,left,5,5,0,0.6,1.0,12,0.019,0.86
P357439_reverse,reverse,6,6,0,0.833,0.771,35,0.02,0.862
P357682_left,left,2,2,0,1.0,0.586,29,0.0,0.862
P359347_reverse,reverse,3,,,,,0,0.138,0.862
P358572_left,left,4,4,0,0.75,0.857,7,0.018,0.863
P357662_reverse,reverse,9,9,0,0.778,0.867,15,0.053,0.864
P361054_obverse,obverse,6,6,0,0.833,0.778,27,0.02,0.864
P359191_reverse,reverse,3,3,0,1.0,0.6,10,0.006,0.865
P333890_left,left,2,2,0,1.0,0.6,5,0.0,0.867
P333940_reverse,reverse,2,2,0,1.0,0.6,5,0.0,0.867
P359054_left,left,2,2,0,1.0,0.6,10,0.0,0.867
P359336_left,left,2,2,0,1.0,0.6,10,0.0,0.867
P390572_left,left,2,2,0,1.0,0.6,5,0.0,0.867
P393099_left,left,2,2,0,1.0,0.6,5,0.0,0.867
P393104_obverse,obverse,4,4,0,0.75,,4,0.015,0.868
P357964_left,left,4,4,0,0.75,,3,0.011,0.869
P359171_reverse,reverse,5,5,0,0.8,0.818,11,0.013,0.869
P333942_reverse,reverse,11,11,0,0.909,0.744,43,0.042,0.87
P359197_obverse,obverse,9,9,0,0.889,0.75,36,0.029,0.87
P359963_obverse,obverse,7,7,0,1.0,0.64,25,0.03,0.87
P405519_obverse,obverse,4,4,0,0.75,,3,0.009,0.87
P254027_obverse,obverse,7,,,,,1,0.129,0.871
P361116_obverse,obverse,12,12,0,0.917,0.763,59,0.065,0.872
P358276_obverse,obverse,7,7,0,0.857,0.8,20,0.037,0.874
P359079_left,left,4,4,0,0.75,,3,0.0,0.875
P272900_obverse,obverse,9,9,0,0.889,0.778,45,0.039,0.876
P357826_reverse,reverse,9,9,0,0.778,0.882,17,0.031,0.876
P359972_left,left,4,4,0,0.75,0.889,9,0.011,0.876
P359390_obverse,obverse,7,7,0,0.857,0.8,5,0.025,0.877
P272899_reverse,reverse,11,11,0,0.909,0.788,52,0.064,0.878
P358509_left,left,2,2,0,1.0,0.636,11,0.0,0.879
P359951_left,left,3,3,0,0.667,1.0,5,0.023,0.881
P361616_obverse,obverse,8,8,0,1.0,0.66,53,0.019,0.881
P389654_reverse,reverse,9,,,,,0,0.119,0.881
P357396_obverse,obverse,9,9,0,0.667,1.0,12,0.02,0.882
P359272_reverse,reverse,13,13,0,0.923,0.75,48,0.026,0.882
P359173_obverse,obverse,11,11,0,0.818,0.889,18,0.056,0.884
P361145_reverse,reverse,8,8,0,0.875,0.8,20,0.022,0.884
P390549_left,left,3,3,0,1.0,0.667,6,0.01,0.886
P357698_left,left,2,2,0,1.0,0.667,6,0.0,0.889
P358254_left,left,2,2,0,1.0,0.667,6,0.0,0.889
P358327_reverse,reverse,3,3,0,0.667,1.0,6,0.0,0.889
P359174_left,left,3,3,0,0.667,1.0,6,0.0,0.889
P359954_right,right,2,2,0,1.0,0.667,9,0.0,0.889
P358220_reverse,reverse,5,5,0,0.8,,3,0.021,0.89
P357803_reverse,reverse,10,10,0,0.8,0.929,14,0.055,0.891
P358244_obverse,obverse,4,4,0,1.0,0.735,34,0.044,0.897
P360999_reverse,reverse,15,15,0,0.867,0.848,46,0.023,0.897
P393098_obverse,obverse,5,5,0,1.0,0.706,17,0.016,0.897
P361147_obverse,obverse,5,5,0,1.0,0.714,14,0.02,0.898
P357404_obverse,obverse,4,4,0,0.75,1.0,6,0.051,0.9
P357508_reverse,reverse,10,10,0,0.9,0.875,48,0.072,0.901
P357777_left,left,6,6,0,1.0,0.73,37,0.02,0.903
P389664_obverse,obverse,6,,,1.0,0.786,14,0.077,0.903
P358462_obverse,obverse,8,8,0,0.875,0.905,42,0.064,0.905
P358467_left,left,2,2,0,1.0,0.714,7,0.0,0.905
P359948_reverse,reverse,6,6,0,1.0,0.733,15,0.018,0.905
P359941_obverse,obverse,8,8,0,1.0,0.735,34,0.014,0.907
P361050_reverse,reverse,6,6,0,0.833,0.917,12,0.026,0.908
P357540_reverse,reverse,3,,,,,1,0.091,0.909
P360780_left,left,4,4,0,0.75,1.0,6,0.022,0.909
P389545_obverse,obverse,11,,,,,0,0.09,0.91
P359396_obverse,obverse,7,7,0,0.857,0.9,20,0.02,0.912
P359195_reverse,reverse,7,7,0,1.0,0.806,36,0.062,0.914
P359251_left,left,4,4,0,1.0,0.75,12,0.007,0.914
P359396_reverse,reverse,3,,,,,0,0.084,0.916
P359218_obverse,obverse,5,5,0,1.0,0.769,13,0.017,0.917
P357738_reverse,reverse,4,,,,,0,0.081,0.919
P357532_left,left,2,2,0,1.0,0.778,9,0.0,0.926
P357543_left,left,4,4,0,1.0,0.792,48,0.012,0.926
P359079_obverse,obverse,14,14,0,1.0,0.829,35,0.052,0.926
P357897_reverse,reverse,6,6,0,,,0,0.073,0.927
P359172_reverse,reverse,8,8,0,1.0,0.812,16,0.029,0.928
P359288_reverse,reverse,12,12,0,0.917,0.889,45,0.023,0.928
P389584_reverse,reverse,3,,,,,0,0.072,0.928
P357936_reverse,reverse,3,,,,,0,0.068,0.932
P333920_reverse,reverse,9,9,0,,,0,0.067,0.933
P357782_left,left,2,2,0,1.0,0.8,10,0.0,0.933
P358221_left,left,2,2,0,1.0,0.8,5,0.0,0.933
P359329_left,left,2,2,0,1.0,0.8,10,0.0,0.933
P360975_obverse,obverse,11,11,0,0.909,0.949,59,0.053,0.935
P357974_obverse,obverse,7,7,0,,,0,0.064,0.936
P359275_reverse,reverse,4,4,0,,,0,0.057,0.943
P357595_left,left,2,2,0,1.0,0.833,6,0.0,0.944
P359090_obverse,obverse,9,9,0,1.0,0.862,29,0.024,0.946
P333944_obverse,obverse,16,16,0,,,0,0.053,0.947
P357641_reverse,reverse,12,12,0,,,0,0.052,0.948
P358260_left,left,3,3,0,1.0,0.875,8,0.026,0.95
P359105_reverse,reverse,8,8,0,,,1,0.049,0.951
P359332_obverse,obverse,14,14,0,,,1,0.049,0.951
P358249_reverse,reverse,5,5,0,,,1,0.048,0.952
P358227_reverse,reverse,9,9,0,,,0,0.047,0.953
P359158_reverse,reverse,6,6,0,,,0,0.047,0.953
P359144_obverse,obverse,3,,,1.0,0.875,8,0.012,0.954
P357763_reverse,reverse,11,11,0,,,0,0.043,0.957
P358215_left,left,2,2,0,1.0,0.875,8,0.0,0.958
P359343_obverse,obverse,11,11,0,,,0,0.041,0.959
P361121_obverse,obverse,22,22,0,,,0,0.041,0.959
P357928_obverse,obverse,5,5,0,,,0,0.04,0.96
P359071_obverse,obverse,17,17,0,,,0,0.04,0.96
P359246_obverse,obverse,11,11,0,,,1,0.04,0.96
P359393_obverse,obverse,8,8,0,,,1,0.04,0.96
P357932_reverse,reverse,12,12,0,,,1,0.038,0.962
P357604_left,left,2,2,0,1.0,0.889,9,0.0,0.963
P358566_left,left,3,3,0,1.0,0.917,12,0.027,0.963
P359367_obverse,obverse,10,10,0,,,0,0.037,0.963
P389558_reverse,reverse,4,,,,,1,0.037,0.963
P359057_left,left,4,4,0,1.0,0.911,45,0.019,0.964
P359222_obverse,obverse,6,6,0,1.0,0.9,10,0.008,0.964
P359253_reverse,reverse,12,12,0,,,0,0.036,0.964
P357709_reverse,reverse,9,9,0,,,0,0.035,0.965
P357535_left,left,3,3,0,,,1,0.034,0.966
P359134_reverse,reverse,12,12,0,,,0,0.034,0.966
P359937_right,right,7,7,0,,,0,0.034,0.966
P357733_left,left,4,4,0,,,1,0.033,0.967
P359141_left,left,2,2,0,1.0,0.9,10,0.0,0.967
P359973_reverse,reverse,10,10,0,,,0,0.033,0.967
P359239_left,left,4,4,0,,,1,0.032,0.968
P359311_reverse,reverse,11,11,0,,,0,0.032,0.968
P358284_reverse,reverse,7,7,0,,,0,0.031,0.969
P359243_reverse,reverse,12,12,0,,,0,0.031,0.969
P361140_left,left,3,3,0,,,0,0.031,0.969
P357757_left,left,5,5,0,,,0,0.03,0.97
P357938_reverse,reverse,12,12,0,,,0,0.03,0.97
P359186_obverse,obverse,10,10,0,,,0,0.03,0.97
P333902_left,left,3,3,0,,,1,0.029,0.971
P359170_reverse,reverse,10,10,0,,,1,0.029,0.971
P359190_obverse,obverse,11,11,0,,,0,0.029,0.971
P359936_reverse,reverse,12,12,0,,,1,0.029,0.971
P359973_right,right,3,3,0,,,0,0.029,0.971
P361176_reverse,reverse,6,6,0,,,1,0.029,0.971
P358205_reverse,reverse,6,6,0,,,1,0.028,0.972
P357821_reverse,reverse,14,14,0,,,0,0.027,0.973
P358249_obverse,obverse,6,6,0,,,0,0.027,0.973
P358268_reverse,reverse,3,3,0,,,0,0.027,0.973
P359199_left,left,3,3,0,,,0,0.027,0.973
P357899_left,left,6,6,0,,,0,0.026,0.974
P359324_obverse,obverse,11,11,0,,,0,0.026,0.974
P359309_obverse,obverse,13,13,0,,,1,0.025,0.975
P359947_left,left,3,3,0,,,0,0.025,0.975
P333925_reverse,reverse,11,11,0,,,0,0.024,0.976
P357444_reverse,reverse,5,5,0,,,0,0.024,0.976
P359399_obverse,obverse,5,5,0,,,1,0.024,0.976
P358227_left,left,3,3,0,,,0,0.023,0.977
P358716_left,left,3,3,0,,,0,0.023,0.977
P357978_obverse,obverse,11,11,0,,,0,0.022,0.978
P358256_left,left,3,3,0,,,0,0.022,0.978
P359249_left,left,3,3,0,,,1,0.022,0.978
P260352_reverse,reverse,7,7,0,,,1,0.021,0.979
P332983_left,left,3,3,0,1.0,0.947,19,0.011,0.979
P359170_left,left,4,4,0,,,0,0.021,0.979
P359389_obverse,obverse,6,6,0,,,0,0.021,0.979
P359938_left,left,3,3,0,,,0,0.021,0.979
P361175_obverse,obverse,4,4,0,,,1,0.021,0.979
P359946_left,left,5,5,0,,,1,0.02,0.98
P357976_left,left,4,4,0,,,0,0.019,0.981
P359061_left,left,5,5,0,,,1,0.019,0.981
P359224_reverse,reverse,7,7,0,,,0,0.019,0.981
P359345_left,left,3,3,0,,,0,0.019,0.981
P359969_left,left,4,4,0,,,0,0.019,0.981
P357939_obverse,obverse,7,7,0,,,0,0.018,0.982
P358212_left,left,3,3,0,,,0,0.017,0.983
P358269_obverse,obverse,5,5,0,,,1,0.016,0.984
P359240_obverse,obverse,12,12,0,,,0,0.015,0.985
P359976_left,left,3,3,0,,,1,0.015,0.985
P359066_left,left,3,3,0,,,1,0.014,0.986
P359343_left,left,4,4,0,,,0,0.014,0.986
P357498_left,left,3,3,0,,,1,0.013,0.987
P358225_left,left,4,4,0,,,1,0.013,0.987
P358626_reverse,reverse,6,6,0,1.0,0.971,34,0.01,0.987
P359189_left,left,3,3,0,,,0,0.013,0.987
P359221_reverse,reverse,6,6,0,,,0,0.013,0.987
P359256_reverse,reverse,4,4,0,,,0,0.013,0.987
P358321_left,left,4,4,0,,,1,0.012,0.988
P359145_left,left,3,3,0,,,1,0.012,0.988
P359221_obverse,obverse,6,6,0,,,0,0.012,0.988
P359228_reverse,reverse,3,3,0,,,1,0.012,0.988
P359261_reverse,reverse,7,7,0,,,1,0.012,0.988
P361563_left,left,3,3,0,,,0,0.012,0.988
P390558_left,left,3,3,0,,,1,0.012,0.988
P333936_left,left,3,3,0,,,0,0.011,0.989
P358271_left,left,3,3,0,,,1,0.01,0.99
P361171_left,left,4,4,0,,,0,0.01,0.99
P361564_left,left,3,3,0,,,0,0.01,0.99
P361091_left,left,3,3,0,,,1,0.009,0.991
P361138_left,left,3,3,0,,,0,0.009,0.991
P358190_left,left,3,3,0,,,1,0.008,0.992
P359393_reverse,reverse,5,5,0,,,1,0.008,0.992
P260364_left,left,4,4,0,,,0,0.007,0.993
P359232_reverse,reverse,4,4,0,1.0,,4,0.014,0.993
P359362_reverse,reverse,4,4,0,1.0,1.0,12,0.022,0.993
P359266_left,left,3,3,0,,,1,0.006,0.994
P361137_left,left,3,3,0,,,0,0.006,0.994
P390557_left,left,3,3,0,1.0,,3,0.012,0.994
P358230_obverse,obverse,3,3,0,,,0,0.005,0.995
P361175_left,left,3,3,0,,,0,0.005,0.995
P260384_left,left,3,3,0,,,1,0.004,0.996
P358269_reverse,reverse,3,,,,,0,0.004,0.996
P393099_obverse,obverse,5,5,0,,,1,0.004,0.996
P358614_left,left,3,3,0,1.0,1.0,12,0.01,0.997
P332982_left,left,2,2,0,,,1,0.0,1.0
P333939_left,left,2,2,0,,,1,0.0,1.0
P333945_reverse,reverse,2,,,,,0,0.0,1.0
P357372_left,left,2,2,0,1.0,1.0,6,0.0,1.0
P357376_left,left,2,2,0,,,1,0.0,1.0
P357379_left,left,2,2,0,,,1,0.0,1.0
P357381_left,left,2,2,0,,,1,0.0,1.0
P357414_reverse,reverse,2,2,0,,,1,0.0,1.0
P357522_left,left,2,2,0,1.0,,3,0.0,1.0
P357525_left,left,2,2,0,1.0,1.0,5,0.0,1.0
P357535_reverse,reverse,2,2,0,,,0,0.0,1.0
P357580_left,left,2,2,0,1.0,1.0,5,0.0,1.0
P357598_left,left,2,2,0,,,1,0.0,1.0
P357618_left,left,2,2,0,1.0,,3,0.0,1.0
P357663_left,left,3,3,0,,,1,0.0,1.0
P357688_obverse,obverse,2,2,0,1.0,1.0,13,0.0,1.0
P357692_reverse,reverse,2,,,,,0,0.0,1.0
P357688_reverse,reverse,2,,,,,0,0.0,1.0
P357697_obverse,obverse,2,2,0,,,0,0.0,1.0
P357723_left,left,2,2,0,1.0,1.0,7,0.0,1.0
P357715_reverse,reverse,4,4,0,,,0,0.0,1.0
P357759_left,left,2,2,0,,,0,0.0,1.0
P357776_left,left,2,2,0,1.0,,3,0.0,1.0
P357798_left,left,2,2,0,1.0,,4,0.0,1.0
P357815_left,left,2,2,0,,,1,0.0,1.0
P357836_left,left,2,2,0,1.0,1.0,7,0.0,1.0
P357914_left,left,2,2,0,,,0,0.0,1.0
P357937_left,left,2,2,0,1.0,,3,0.0,1.0
P357938_left,left,2,2,0,,,0,0.0,1.0
P357950_obverse,obverse,2,2,0,,,0,0.0,1.0
P358199_left,left,2,2,0,,,1,0.0,1.0
P358210_left,left,2,2,0,,,1,0.0,1.0
P358224_left,left,4,4,0,,,1,0.0,1.0
P358247_left,left,2,2,0,1.0,,4,0.0,1.0
P358247_obverse,obverse,2,2,0,,,0,0.0,1.0
P358251_reverse,reverse,2,2,0,,,0,0.0,1.0
P358255_reverse,reverse,2,2,0,,,1,0.0,1.0
P358266_left,left,2,2,0,,,0,0.0,1.0
P358272_left,left,2,2,0,1.0,,3,0.0,1.0
P358517_left,left,2,2,0,1.0,1.0,6,0.0,1.0
P358525_left,left,2,2,0,,,1,0.0,1.0
P358547_left,left,2,2,0,,,0,0.0,1.0
P358668_left,left,2,2,0,,,1,0.0,1.0
P358694_left,left,3,3,0,,,0,0.0,1.0
P359083_reverse,reverse,19,19,0,,,0,0.0,1.0
P359091_left,left,2,2,0,1.0,1.0,7,0.0,1.0
P359097_left,left,2,2,0,,,1,0.0,1.0
P359117_left,left,2,2,0,,,1,0.0,1.0
P359120_left,left,2,2,0,1.0,1.0,6,0.0,1.0
P359113_obverse,obverse,2,2,0,,,0,0.0,1.0
P359126_left,left,2,2,0,,,0,0.0,1.0
P359137_left,left,2,2,0,1.0,1.0,7,0.0,1.0
P359175_reverse,reverse,3,3,0,,,1,0.0,1.0
P359184_left,left,2,2,0,,,0,0.0,1.0
P359190_left,left,2,2,0,,,0,0.0,1.0
P359190_right,right,2,2,0,,,1,0.0,1.0
P359208_left,left,2,2,0,1.0,,2,0.0,1.0
P359270_left,left,2,2,0,,,0,0.0,1.0
P359300_left,left,4,4,0,,,0,0.0,1.0
P359316_left,left,2,2,0,1.0,1.0,6,0.0,1.0
P359347_obverse,obverse,2,2,0,,,1,0.0,1.0
P359365_reverse,reverse,2,2,0,,,1,0.0,1.0
P359367_left,left,2,2,0,,,0,0.0,1.0
P359368_left,left,2,2,0,,,1,0.0,1.0
P359364_reverse,reverse,2,,,,,0,0.0,1.0
P359377_obverse,obverse,7,7,0,,,0,0.0,1.0
