DIFT_similarity,mask,affine,global,OOB,total
-0.00024413385391300026,-0.00016856675455540726,0.0,0.0,0.0,-0.0004127006084684075
-0.00024413884292934433,-0.00018979121768433182,7.980696856975556e-06,7.996845990419388,0.0,7.996420249671895
-0.00024413865415866623,-0.0002039644497964117,9.501268714666367e-06,2.04375721514225,0.0,2.043318598405457
-0.00024415273455141923,-0.000203174874631481,1.1435732245445253e-05,4.823939874768257,0.0,4.82350390838499
-0.0002441540440216798,-0.00020840335780133803,1.4353486895561219e-05,6.730610132217407,0.0,6.730171689883227
-0.0002441682895382487,-0.00021654160099311004,1.673819422721863e-05,5.942325666546822,0.0,5.941881620343637
-0.00024417407291400225,-0.0002129670241782959,1.8341992795467377e-05,3.464950993657112,0.0,3.464512239255976
-0.00024417344772060726,-0.0002156589604500267,1.9752782583236695e-05,0.16544221434742212,0.0,0.16500213379039283
-0.0002441943355801481,-0.00021293693176202292,2.0895569026470185e-05,1.626434177160263,0.0,1.6259979712632568
-0.0002441874073863599,-0.00021396579170585833,2.1374472975730896e-05,1.4545129612088203,0.0,1.4540761750306914
-0.00024418807704394024,-0.00021839338278190954,2.173644155263901e-05,0.015499521396122873,0.0,0.015058676028391239
-0.00024418620847023296,-0.00021736948545504771,2.1645411849021914e-05,2.4300990626215935,0.0,2.4296591001854386
-0.0002441842563577531,-0.00021232283345113193,2.0928266644477847e-05,3.3620093017816544,0.0,3.3615737080568513
-0.00024418535529683276,-0.0002199822880327701,2.0504453778266907e-05,3.0499858781695366,0.0,3.049542222429338
-0.00024418355240885393,-0.00022198296717057623,1.990499347448349e-05,1.7030354589223862,0.0,1.702589212297646
-0.00024417479114533674,-0.00021751542022657302,1.884795278310776e-05,0.5138066597282887,0.0,0.5133637988421162
-0.00024417932972600856,-0.00021923804200357858,1.8025967478752135e-05,1.4403065666556358,0.0,1.439861152898875
-0.00024419250769790743,-0.00022211063966670833,1.7137227952480316e-05,1.2645944952964783,0.0,1.2641453889804362
-0.0002441794826558584,-0.00022835799690171065,1.6353172063827515e-05,0.14149656053632498,0.0,0.14104036970881362
-0.00024417295713242813,-0.00022078358475118874,1.5358255803585055e-05,1.8002720549702644,0.0,1.799822508837486
-0.00024417971925922083,-0.0002193899311332239,1.4827400445938111e-05,2.5844551622867584,0.0,2.584006509443597
-0.0002441613087285077,-0.00021725719537029765,1.4698676764965058e-05,2.3594705387949944,0.0,2.359023886022871
-0.00024416392328998037,-0.00021514830622408122,1.447368860244751e-05,1.2516244314610958,0.0,1.251179626447874
-0.00024416278318784425,-0.00021936086045785082,1.4071021974086762e-05,0.6309477612376213,0.0,0.63049831606628
-0.00024418520155854314,-0.0002238395378510985,1.3746073842048646e-05,1.419537514448166,0.0,1.4190832655848975
-0.0002441641872455538,-0.00021648730639782214,1.3491445779800416e-05,1.2431313283741474,0.0,1.2426841198970457
-0.0002441621108354647,-0.0002188805512256092,1.3381488621234895e-05,0.21373133640736341,0.0,0.21328167243965027
-0.00024416883179920087,-0.0002209326300356123,1.3964009284973146e-05,1.5710487961769104,0.0,1.570597599119189
-0.00024417367246685356,-0.00022352573922059186,1.4547036588191988e-05,2.306942455470562,0.0,2.3064893105452446
-0.0002441820758610481,-0.00021869172102047333,1.4932000637054444e-05,2.110997959971428,0.0,2.110549973471403
-0.00024418024494715846,-0.00022281215054293472,1.5167908370494843e-05,1.0861356742680073,0.0,1.0856838013515477
-0.000244178279293313,-0.00022122685686788623,1.5537229180335998e-05,0.6769353058189154,0.0,0.6764854472250263
-0.00024417246075043094,-0.00022124852644305466,1.563156843185425e-05,1.4151147566735744,0.0,1.4146649709789652
-0.00024418093414203243,-0.00022175212784980732,1.5524691343307494e-05,1.2386972084641457,0.0,1.2382467628400033
-0.0002441784768220882,-0.00022405102567540274,1.5610989928245545e-05,0.24544475600123405,0.0,0.24499214121309362
-0.00024418298474942004,-0.00022218502317037845,1.5407073497772216e-05,1.4778581447899342,0.0,1.4774072248332863
-0.000244173274781874,-0.00022310053232229413,1.5125802159309388e-05,2.194386348128319,0.0,2.193934095814924
-0.00024416950738533934,-0.00022074284029917582,1.4969494938850404e-05,2.009916305541992,0.0,2.009466362688567
-0.0002441830845243573,-0.0002240100473391875,1.490350216627121e-05,1.0186939500272274,0.0,1.018240634320565
-0.0002441759041647418,-0.0002239179776250643,1.4743912220001222e-05,0.6952285766601562,0.0,0.6947752266906548
-0.00024417830334439513,-0.00022207980940260714,1.4484240114688875e-05,1.412538904696703,0.0,1.412087112197232
-0.0002441772168013914,-0.0002220925527521305,1.4223486185073853e-05,1.236296072602272,0.0,1.235844011417335
-0.0002441711717606436,-0.00022117210096273787,1.3842383027076721e-05,0.2586326561868191,0.0,0.2581811590223272
-0.0002441890252763793,-0.00022413887294630208,1.3695983588695528e-05,1.438031904399395,0.0,1.437577279935151
-0.0002441676246639367,-0.00022254310127140743,1.3745601475238801e-05,2.1459853276610374,0.0,2.1455323997888867
-0.00024417433471373643,-0.00022408132232311695,1.35931596159935e-05,1.966395229101181,0.0,1.9659405964060317
-0.00024417096230738226,-0.00022307783474938736,1.3379049301147461e-05,0.9899048134684563,0.0,0.989450951171031
-0.0002441780248369064,-0.0002203834769212537,1.31879061460495e-05,0.7022383157163858,0.0,0.7017869477085695
-0.0002441752140940581,-0.00022355165713363218,1.3158811628818512e-05,1.410298515111208,0.0,1.4098438986224773
-0.0002441882229673124,-0.00022261907198052437,1.3144157826900483e-05,1.234262716025114,0.0,1.2338090417117875
-0.00024418049765194557,-0.0002223244749837451,1.298496723175049e-05,0.26384794618934393,0.0,0.2633944271148464
-0.00024416340481063037,-0.00021956637656096262,1.2729904055595398e-05,1.4204226434230804,0.0,1.419971673347605
-0.00024417389552885044,-0.00022097990156875712,1.2421754002571107e-05,2.124277874827385,0.0,2.12382509808084
