x0,y0,x1,y1,score,label,sign
560.6,246.6,739.6,431.3,0.971,5,GAR
318.8,256.5,570.8,454.9,0.929,24,MU
237.2,0.0,419.5,100.8,0.919,40,|UD×(U.U.U)|
891.2,0.0,1049.7,114.0,0.902,16,BA
726.7,255.1,905.3,410.5,0.862,38,UnclearSign
565.1,1.7,672.8,79.2,0.48,11,A
654.3,2.0,792.5,51.3,0.344,54,ŠE
